"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",-103.2,-73.225,-76.23,-20.528,8.5245,17.842,-10.078,-35.448,14.777,22.489,13.134,8.6815,14.965,32.959,7.0625,25.748,-21.421,-0.73157,21.201,36.938,-1.6141,-15.201,18.927,2.085,-6.23,0.96464,-1.0227,2.5588,8.4878,7.26
"2",-120.54,-67.568,-99.856,-28.942,-8.1849,14.796,26.002,-34.213,9.9565,20.731,-5.225,-22.685,-7.0678,20.179,-14.232,19.375,-10.429,-32.929,31.385,-4.7531,-15.192,-4.9365,-0.81183,21.434,-15.524,-6.5745,5.9747,-11.746,12.812,11.401
"4",-104.98,-35,-103.51,30.91,8.5062,45.782,22.88,-21.903,-22.102,12.149,-1.7545,-6.0324,-7.0675,8.4656,22.155,5.3516,-31.74,-6.8096,18.98,-19.198,-8.0624,4.2133,24.623,5.4857,-17.59,-9.9517,2.199,8.4557,-21.456,-5.9277
"10",-111.41,-60.654,-121.25,25.565,-29.01,-15.006,-11.72,33.894,-41.055,-5.8813,-1.97,4.4688,23.268,-28.321,-14.409,-34.025,-11.206,-18.25,12.663,-33.431,22.115,1.8898,-13.108,32.369,-24.214,-48.471,-4.3652,-19.105,31.295,25.948
"16",-139.72,-79.241,-81.671,0.67713,50.363,-8.1957,32.396,17.935,-37.483,54.475,-20.305,12.337,9.0415,52.357,0.22386,-0.71057,-19.418,0.81082,24.103,7.3241,23.031,-17.064,-0.76099,22.108,5.2691,-19.724,-33.807,9.9671,5.4392,-0.051578
"23",-144.72,-50.984,-57.326,-19.647,20.448,9.3907,-40.256,-2.6039,1.8349,28.567,23.265,14.828,31.095,10.663,14.064,7.7715,-24.287,17.005,30.392,22.246,-18.193,-16.131,21.281,9.9174,7.7545,-21.487,12.752,-13.5,-11.073,45.008
"25",-96.938,-67.743,-69.742,-24.745,44.838,-18.586,60.066,10.715,-40.352,60.424,-44.822,-10.549,20.706,42.734,-17.834,-0.22512,-3.1204,-30.143,38.238,21.868,14.509,-7.3919,-1.7354,8.7005,17.828,-8.5789,-30.039,10.564,0.18624,11.38
"31",-135.93,-44.698,-51.06,-11.238,-18.177,-35.676,-8.1386,38.5,-9.5493,3.9323,-38.878,22.896,-10.984,5.4101,-31.49,20.683,-8.7396,-13.249,-5.6074,21.461,30.464,-3.0357,-4.4149,22.681,-15.421,-38.645,-1.3994,14.138,7.779,1.666
"34",-155.95,-72.321,-108.14,-6.392,18.445,19.893,-9.39,-20.848,-2.0741,23.274,-8.4113,-9.806,15.658,38.634,-1.6228,-7.4824,-16.759,-6.6238,39.197,9.6038,18.61,-5.6145,2.1874,51.622,12.916,-32.46,-23.297,19.535,4.4161,-6.3584
"44",-158.12,-43.79,-35.326,-35.08,15.885,-12.527,5.0476,10.167,-19.246,53.408,29.563,5.9306,-20.811,24.611,-6.1466,0.012418,-14.734,28.642,-6.7697,12.478,16.193,-6.052,9.5481,36.504,16.097,-18.555,-1.8103,25.049,-21.122,14.567
"46",-152.84,-31.93,-16.564,-33.762,-13.973,-15.794,-0.27448,2.4633,3.9864,26.588,-10.036,3.5209,-28.862,22.437,-21.702,5.0497,1.718,8.9443,-8.1103,23.7,20.074,-9.345,12.71,34.009,-6.5347,-12.876,-2.2127,20.544,-6.8218,18.018
"61",-155.8,-58.562,-73.161,0.68935,0.58757,18.456,-29.033,-1.7234,0.82449,26.503,19.307,11.274,3.3372,36.023,13.323,2.6353,-13.302,11.76,18.797,23.379,-1.5892,-11.785,21.22,18.979,7.6435,0.10429,-3.3718,3.7652,-5.5,22.021
"62",-129.02,-73.727,-77.143,-13.027,22.063,21.191,-50.283,8.9736,25.306,22.276,19.564,29.881,38.884,29.467,9.9107,5.7948,-6.2473,15.866,29.885,29.668,4.9855,-19.904,11.973,7.0309,-2.4741,-6.1034,15.593,-7.1502,-3.0197,21.641
"63",-115.77,-65.529,-72.896,-56.421,3.4707,-12.116,7.7705,-28.293,6.7428,21.672,14.21,-15.512,-0.41121,16.782,-1.6584,14.37,-15.153,2.6458,13.407,-4.1249,11.751,-12.238,21.889,32.867,-0.85969,-25.456,-5.0403,9.4268,0.89851,1.1262
"64",-134.04,-51.081,-131.01,38.442,-31.626,-18.129,-0.38244,44.718,-6.3809,-2.7782,19.672,-7.1204,9.1298,-11.926,-18.145,-37.932,-4.9044,13.944,9.6732,-22.249,16.546,13.066,-2.9104,18.237,-41.846,-39.993,11.583,-51.879,1.9073,23.542
"75",-211.55,-47.62,-60.229,9.4678,-2.1772,5.9584,-36.27,20.719,14.223,25.472,19.002,24.191,6.6385,3.0606,11.401,19.194,1.1925,5.4557,11.75,47.092,-18.179,-12.931,-5.5748,9.3348,18.91,-17.984,0.38145,15.048,-10.573,35.681
"78",-160.43,-48.41,-105.86,-12.822,4.5304,19.589,-7.8519,-22.589,4.7697,4.3123,-9.8962,2.0979,22.069,51.884,-16.518,11.864,-12.439,-6.5109,53.979,15.837,-3.2707,-6.6713,-7.3069,9.8073,9.2873,-12.798,-11.368,22.19,-4.5874,19.242
"102",-76.889,-54.847,-90.108,-24.95,25.883,-7.6405,39.277,7.8255,-21.806,33.695,-15.709,-9.9459,1.5765,44.229,-43.354,2.6745,3.181,-16.055,11.863,18.632,7.0747,-9.6766,3.7446,21.869,14.049,-37.636,-2.8641,36.485,-14.438,2.8825
"104",-71.009,-51.419,-62.946,-26.539,33.012,9.3818,39.31,7.6804,-22.97,43.505,-10.886,-8.2006,1.9106,52.739,2.5305,8.666,-46.502,-24.93,23.066,0.55088,5.2667,-23.554,15.826,32.849,-3.6972,-16.616,-16.209,-6.7829,-11.396,10.4
"106",-134.84,-39.655,10.571,-2.5789,36.397,-1.9686,13.905,74.244,-19.538,58.719,-1.5599,24.343,5.8918,13.601,8.1419,-1.5367,-0.015527,12.374,-2.5617,20.371,1.8483,-21.651,10.853,29.756,8.4718,0.26748,-7.8528,-15.293,-14.033,14.618
"107",-83.299,-57.67,-48.674,-26.194,20.451,11.153,-35.951,1.3244,17.057,16.33,21.958,6.7824,7.7677,38.261,2.2692,1.4432,-22.058,11.655,15.144,16.229,-5.13,-23.932,9.1257,33.304,-4.3307,-4.1091,-1.2835,4.3235,-0.87585,0.77361
"109",-151.32,-30.154,-17.141,-40.467,-20.797,2.6294,-22.959,8.8023,29.41,36.482,3.6555,15.08,-26.061,31.163,-4.8277,14.918,3.1136,-1.9087,-5.8011,62.883,-9.299,-15.46,24.631,13.761,3.5372,-6.9776,9.1178,-2.3497,7.7397,24.457
"110",-128.17,-23.604,7.4896,-5.2067,30.976,-9.3874,11.227,56.834,-15.265,49.553,-16.029,32.239,14.739,14.133,6.1465,-0.86324,-2.3192,-10.535,-2.345,28.602,8.7949,-15.34,16.646,34.28,-4.5168,-20.35,-21.336,0.25652,-14.279,11.98
"111",-95.478,-44.916,0.7174,-24.599,33.697,-10.576,4.0166,44.386,-5.6891,54.193,21.479,17.147,-5.5807,23.698,7.4873,-8.2075,-20.132,6.0935,10.527,6.5779,10.187,-25.757,12.861,35.592,-3.9256,-14.93,-11.005,-4.9326,-10.685,20.96
"123",-102.96,-50.881,-52.931,-9.3461,31.781,1.5149,32.735,16.425,-25.592,50.637,-11.63,6.7018,5.8104,41.255,4.7859,-8.5792,-34.937,1.848,24.998,5.5676,-2.8895,-13.956,10.762,29.073,-2.8291,-9.5129,-22.935,5.0713,-7.9799,3.1335
"128",15.462,-39.631,-1.91,-40.16,45.889,-15.337,40.375,-13.42,5.2924,31.293,-13.3,-18.397,32.713,20.01,-15.126,-3.8842,5.9706,36.756,31.361,22.944,15.443,-6.2245,13.586,27.372,4.7153,-23.741,-5.9727,-15.751,-11.448,13.335
"131",-1.7196,-13.308,10.9,-68.536,27.25,8.4692,1.7475,1.0725,4.8488,8.6783,12.044,-5.9691,10.053,-0.86575,2.4756,9.9897,-20.815,31.942,16.079,1.2046,0.48599,-7.1451,13.611,24.215,6.4334,-27.208,0.9533,-8.9517,-2.4733,4.8051
"138",31.948,-20.492,11.753,-54.857,39.312,7.5032,20.981,-6.3331,-0.21733,21.491,-3.1274,-23.245,17.883,21.936,-15.302,0.24226,-14.897,37.735,46.22,11.1,6.7616,-9.4724,14.976,42.536,3.2425,-18.511,-9.922,-10.506,-2.379,17.361
"139",-36.894,-26.924,-12.669,-67.721,41.059,3.7975,14.943,8.5256,7.8332,33.88,4.69,-0.10973,25.864,-2.0122,1.4377,-13.433,-2.5336,35.277,11.1,5.164,14.961,2.8718,24.694,40.803,-14.448,-16.795,13.275,-10.229,-9.6271,15.213
"142",-46.372,-7.0488,57.857,-47.505,22.414,-10.561,-15.134,49.339,-7.2331,40.627,5.1272,12.423,13.441,11.358,-5.3809,-26.83,2.7693,8.0847,3.7324,25.041,14.797,-12.335,21.108,33.669,-2.6842,-11.77,12.821,-22.056,1.6802,7.5689
"145",28.176,-6.715,-28.229,-45.767,13.669,-3.872,24.253,-22.473,16.847,-5.9145,-9.8058,-29.586,-13.585,1.6515,-2.062,3.1716,-12.845,21.005,21.127,-8.9685,-12.906,-9.9602,18.395,17.066,-4.0872,-14.161,-11.001,-7.7055,-7.2265,10.999
"157",-31.395,4.788,21.687,-61.32,16.952,-13.828,-37.658,-5.3182,33.856,10.049,13.993,17.289,6.6248,-11.323,2.5907,-11.961,-8.5914,-2.9174,6.0759,19.203,-2.6068,-44.123,28.895,52.038,38.287,-20.117,-8.3248,-29.987,-19.718,13.14
"159",-11.216,-2.1203,10.922,-49.425,28.672,-11.999,-24.591,-17.273,32.022,12.1,1.9757,-6.1078,13.966,-9.5363,10.799,-19.262,-34.315,-0.044071,35.222,10.482,-1.6913,-28.152,31.134,37.763,25.503,-24.599,-8.934,-37.961,-18.158,11.131
"162",-61.127,187.88,-100.03,39.102,46.705,-38.816,65.75,-133.01,-182.65,99.239,-29.08,30.329,-43.121,-96.146,-45.095,-64.777,-7.2469,42.549,-24.007,-11.425,-37.535,-17.652,-31.96,41.068,51.063,-90.508,41.594,-26.329,51.891,-8.0242
"164",66.353,-12.479,65.1,65.761,-301.27,-3.5285,56.222,-16.337,36.646,148.03,4.4357,25.575,72.534,4.0697,112.18,-96.769,-12.673,-47.092,-19.972,10.878,44.802,6.4891,30.885,17.127,16.247,-19.069,54.745,16.073,-4.6837,28.464
"171",-61.538,179.44,-118.81,70.408,40.359,-44.074,79.976,-162.89,-172.71,67.079,-33.369,2.1803,-10.781,-97.883,-50.228,-7.0307,34.885,90.274,4.9337,8.8612,-30.937,-63.947,-0.32844,24.932,97.331,-32.291,51.736,-10.994,-33.624,-26.48
"179",-194.94,42.279,73.948,-62.851,-67.082,21.654,28.73,-15.445,-24.284,1.0108,-28.599,-35.639,-28.93,48.127,-16.086,-58.837,-5.7237,2.1599,11.752,10.186,10.058,-15.407,8.6231,1.9948,-48.484,12.538,1.5384,-2.4862,-7.5479,0.68885
"184",-208.94,-54.28,21.123,-103.65,34.026,-32.276,11.135,59.725,-36.525,19.225,-30.198,22.139,22.739,-9.5752,11.058,29.501,-5.3013,8.9276,-4.4568,-11.969,-39.016,-26.819,19.033,-0.66966,12.742,-27.126,-34.04,-15.78,-10.512,13.919
"185",-210.02,-7.7988,-177.61,186.89,30.282,6.7905,50.881,127.34,-14.921,-18.119,-17.68,-152.21,-90.358,40.962,57.889,-0.53065,-48.277,48.709,43.697,16.168,-10.532,-43.097,75.966,53.516,46.446,-30.015,16.42,-17.668,3.6406,37.119
"195",-72.623,98.257,-243.37,44.078,25.802,91.963,-51.509,76.442,-22.005,40.709,115.12,64.219,28.722,74.034,31.726,-101.66,111.95,80.972,48.55,35.505,-43.177,65.008,-26.735,-11.956,49.871,-48.592,-98.72,1.02,-12.456,-17.696
"199",-208.09,30.434,35.053,35.008,44.934,1.3927,59.229,79.346,11.917,41.77,-55.273,14.484,14.463,48.627,-6.5968,-10.719,-45.572,30.497,36.86,1.8287,-32.135,3.4212,11.871,-4.164,31.584,-5.224,28.767,5.2269,-11.869,3.5982
"202",-197.49,-33.392,29.984,-46.309,73.185,-39.354,15.106,69.16,20.893,60.54,-57.541,20.77,56.849,12.816,16.548,-33.221,-27.283,8.7185,20.801,5.299,-85.523,4.2124,-0.7884,16.056,30.081,-18.291,-7.337,10.406,13.259,8.5706
"205",-220.74,41.454,91.077,-2.4921,-8.0445,36.316,-14.683,-16.977,-14.544,21.91,-3.1209,-26.14,-32.852,58.871,9.4257,-49.095,-8.5385,-24.42,24.796,21.004,-16.001,-46.673,29.778,20.728,-43.88,-51.65,-14.642,-10.572,-25.364,39.976
"223",10.224,177.97,-177.28,-105.04,-30.902,78.158,-57.811,75.595,50.567,133.16,-14.053,-26.469,2.5123,-52.823,62.554,61.041,-21.687,65.256,1.6278,-1.5581,-41.064,-15.596,35.419,31.19,-16.44,-7.7204,1.4148,21.717,-28.129,-51.524
"224",-43.095,234.46,-170.45,-132.86,27.966,88.004,24.063,32.65,-10.066,91.995,-53.303,4.5621,22.662,42.823,59.533,-34.672,-26.453,-4.5335,5.4499,-0.10529,7.3126,-39.945,-6.1784,50.567,-65.929,34.52,-8.8197,-5.6256,-12.725,2.5685
"232",-76.905,238.47,-101.3,-86.72,8.5938,-8.9321,-77.892,101.57,71.881,47.239,-25.822,-41.08,78.533,9.5152,-89.433,-20.411,11.836,7.9708,26.354,-13.016,25.538,19.005,79.242,51.064,11.782,-23.884,14.902,32.383,-26.935,6.6519
"237",-166.07,-23.19,44.142,-60.534,-2.11,24.439,1.3708,-5.9633,13.559,49.753,25.076,2.0559,-34.383,24.065,-4.7247,-30.258,0.88524,-4.7899,2.6702,54.802,-28.443,-26.746,38.263,14.554,-1.6154,-50.514,-8.3299,-11.115,-7.775,0.098247
"238",-133.94,-101.61,-33.515,-22.255,90.298,-31.829,25.435,-16.147,-16.443,96.683,-9.2415,-9.5276,57.455,17.472,0.33075,7.8931,-30.128,38.844,30.685,15.484,8.2527,-4.6113,26.38,18.233,-18.25,-62.154,5.2142,15.965,-15.354,9.2753
"241",4.2104,161.45,-121.98,-66.757,59.756,-42.757,-13.813,142.12,-5.477,22.005,20.07,-80.679,37.839,-104.39,-61.45,7.3437,-34.7,3.3688,91.293,-6.3123,19.311,23.169,31.745,-35.421,10.803,-27.755,-36.955,59.326,-31.131,60.232
