"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"3",-118.44,-78.434,-47.989,-40.154,60.019,-23.499,31.206,24.439,-28.152,70.461,-9.4684,6.5372,40.322,27.279,6.281,-13.957,-12.779,2.4633,29.937,1.036,7.1782,-24.572,16.409,23.021,3.3005,-11.104,-29.587,-4.0443,-16.559,16.546
"5",-118.15,-59.142,-51.383,-55.892,1.6288,12.295,-14.925,-29.098,21.089,34.256,42.998,22.962,-15.997,27.085,0.37961,29.795,-12.656,19.908,-3.1871,8.1953,-1.3482,-16.952,40.293,7.6037,-17.531,-28.775,6.0669,3.7036,-14.316,33.206
"6",-168.94,-46.199,9.3245,-26.183,25.575,-19.941,26.215,82.573,-26.675,71.086,-7.5237,21.497,18.161,13.637,13.699,0.15222,-4.0375,21.714,14.025,24.886,-3.9729,-17.193,7.8958,16.792,15.549,-2.4728,-15.348,-16.536,-18.418,31.682
"7",-123.21,-83.434,-28.013,-18.279,58.308,-23.635,30.459,30.319,-25.011,85.428,12.415,14.567,24.498,22.055,6.8232,20.537,-42.921,28.323,10.363,-13.445,20.372,-20.324,6.9605,16.417,7.3141,-18.694,-10.404,-7.4961,-20.847,25.227
"8",-119.31,-43.271,-62.931,-38.585,3.5409,9.8532,-5.2477,-8.8477,14.462,30.119,46.752,-6.3123,-15.14,28.48,4.9339,31.546,-3.6465,24.805,-38.685,13.422,-11.791,-8.0353,28.082,24.914,5.1568,-29.624,11.407,13.053,-20.487,21.083
"9",-127.54,-77.431,-23.485,-41.61,35.64,-6.2863,28.849,12.634,-28.504,85.31,2.1101,3.4178,38.092,36.958,9.5392,-1.8264,-25.236,17.651,13.455,-5.2224,7.3626,-24.655,19.748,17.57,-3.0634,-4.815,-17.201,-13.15,-22.728,37.951
"11",-149.7,-67.737,-45.611,-45.969,60.427,-11.67,35.85,15.067,-33.414,73.634,2.5134,-0.20772,35.562,44.916,-5.2325,-10.912,-29.58,-3.7519,28.458,2.9619,22.027,-13.925,29.353,22.666,-0.062841,-14.264,-19.659,-4.6151,-9.5144,19.434
"12",-105.58,-62.593,-117.91,17.389,-24.761,-9.5752,-7.1148,25.939,-34.943,-4.0641,-26.962,23.614,14.909,-10.904,-20.253,-6.7806,4.7317,-27.478,10.815,-3.2055,13.465,-9.5008,-20.362,66.612,0.43934,-31.336,-20.498,16.68,52.86,1.6823
"13",-115.12,-56.573,-124.65,41.398,-30.599,-8.4281,-7.8076,49.907,-35.993,-1.988,1.6955,3.2065,10.568,-20.463,-29.934,-34.169,-11.436,-15.098,28.417,-25.576,20.235,-10.709,-20.252,30.602,-29.916,-45.245,-4.3439,8.8826,43.145,30.729
"14",-124.02,-61.846,-53.366,-17.811,11.072,9.1214,-32.858,-2.3089,20.306,35.911,32.442,28.22,9.9515,22.55,2.3536,18.109,-10.44,6.7583,11.808,20.937,-0.28099,-18.436,35.095,12.51,-9.5879,-11.5,1.9026,-2.8273,-7.4298,28.865
"15",-137.33,-66.923,-23.942,-26.288,20.874,-19.666,4.4158,31.18,-11.309,56.004,19.872,19.04,-16.963,16.522,10.656,27.887,-8.2012,19.501,-6.7882,6.0983,13.089,-32.935,-0.62108,8.7911,-1.4776,-13.705,-13.994,11.418,-12.676,28.619
"17",-124.72,-48.79,-37.139,-34.549,13.877,6.0313,-7.5513,-12.111,22.142,29.077,42.056,13.689,-3.8121,19.118,1.2016,37.459,-5.0734,17.707,-17.746,23,-9.4892,-27.352,38.215,8.2035,-1.2716,-32.787,8.0286,24.024,-14.314,33.687
"18",-110.43,-77.431,-89.332,-26.354,8.6754,10.117,-20.525,-15.094,9.9825,19.531,21.74,7.2446,3.6506,35.972,22.478,-7.3498,-17.726,8.255,31.626,30.493,-9.9253,-17.631,30.903,22.189,4.2462,6.6045,1.4806,-18.533,3.5001,-2.0041
"19",-103.81,-73.452,-78.245,-23.461,-3.6741,14.713,-25.742,-31.203,2.9312,23.016,12.95,6.5878,15.975,40.701,8.0473,15.137,-1.9743,-0.53004,15.823,8.276,3.9227,-14.011,31.132,11.212,-10.441,-15.99,-10.706,7.3338,5.1859,10.272
"20",-145.24,-59.225,-48.056,-9.4909,11.606,7.9818,-62.08,26.913,13.561,25.148,25.757,28.276,26.215,10.947,1.16,9.3397,6.5246,11.544,19.485,55.509,-7.1545,-31.865,29.622,11.589,15.915,7.2546,21.341,-16.089,-7.2967,35.885
"21",-83.685,-81.011,-104.29,-36.963,28.289,-2.3601,-13.597,-29.809,6.5554,16.041,14.389,-0.14738,28.175,24.943,-1.8283,-0.99351,4.8937,-2.3453,43.022,4.5937,8.0386,-20.348,19.886,33.332,5.5696,-14.058,11.987,-14.006,0.86255,15.454
"22",-125,-34.85,-7.7357,-49.424,-22.744,-10.022,-33.618,15.535,34.16,28.667,5.2178,1.1569,-14.162,15.522,-12.998,23.342,-5.5382,8.5901,-2.5738,43.256,2.7278,-18.247,9.4466,14.283,-5.3372,-18.892,-2.6112,12.007,7.5058,18.03
"24",-127.17,-58.417,-23.603,-15.204,42.998,-12.233,11.92,24.614,-42.041,73.556,4.3218,15.826,17.398,20.014,11.85,-7.5253,-28.042,26.234,28.766,2.7877,3.2847,-21.366,14.487,32.887,1.4265,-9.4956,-16.448,-9.7242,-8.0677,19.547
"26",-99.97,-45.073,-121.06,-15.225,-21.861,-6.6668,9.9294,-2.431,-32.825,3.3185,-2.8266,2.1999,1.3643,21.645,-45.471,2.0094,20.863,-13.369,17.165,16.847,-2.0134,-15.776,26.674,31.045,11.09,-39.785,15.464,28.297,-2.4418,20.774
"27",-100.37,-80.548,-72.855,-32.244,39.561,-18.788,60.282,13.641,-37.759,46.383,-21.824,-6.4589,15.687,56.096,-9.1412,-10.687,-17.84,-19.305,33.66,17.323,23.439,-18.353,6.4836,21.912,14.911,-0.41894,-33.91,-7.1221,-10.775,9.6729
"28",-95.005,-72.55,-39.115,-33.1,52.249,-13.757,14.595,29.513,-29.826,55.716,19.302,20.971,5.0051,38.941,9.8253,6.087,-5.1728,13.401,7.1047,3.2036,21.273,-32.388,13.656,26.931,2.0038,-14.613,-19.579,-6.0752,-7.9754,1.1312
"29",-106.06,-39.476,-112.28,9.0915,-35.518,-22.196,-17.029,47.864,-38.46,-10.323,10.407,6.2708,9.706,-10.081,-15.139,-11.633,-8.9985,-9.0529,7.7227,-40.916,8.8253,4.6168,1.4129,28.964,-16.383,-43.569,14.631,-11.511,4.125,12.519
"30",-131.96,-60.406,-109.42,13.55,30.193,28.943,-3.4994,1.8698,-23.381,20.446,-6.1125,2.8922,24.999,33.757,4.3561,-40.432,4.0075,14.262,35.75,20.141,-2.5143,-9.8774,4.6378,56.29,1.2773,-51.728,-3.8939,-0.018333,-9.1466,12.261
"32",-183.46,-18.109,-38.65,-18.75,4.7292,0.070446,-35.564,1.7297,18.497,20.105,-10.206,28.949,27.29,17.264,16.427,26.334,-19.747,-9.8927,17.741,59.692,-17.201,-17.413,20.12,-0.21575,3.7627,-10.51,6.3272,0.41641,-6.6883,30.149
"33",-179.57,-55.739,-47.33,-4.7669,2.2605,14.986,-55.809,33.755,24.805,14.426,8.5659,29.673,4.6528,23.343,-1.2286,14.675,9.6333,2.7131,20.344,58.746,6.1057,-24.445,12.995,8.131,12.196,-13.261,9.4573,-5.6976,-7.3711,24.775
"35",-105.79,-86.817,-78.724,-11.511,34.456,18.764,-25.569,-22.699,12.632,21.7,11.362,7.1839,55.204,15.219,10.164,-11.644,-18.623,12.918,48.157,12.946,-5.4814,-34.142,17.943,21.369,-3.8756,-12.8,18.473,-17.37,-9.1132,18.013
"36",-135.12,-58.399,-66.358,-24.501,4.1209,9.9696,-31.698,-9.4695,15.478,25.679,33.399,32.818,8.1142,31.68,13.571,12.537,-16.751,15.968,19.367,29.233,-0.69865,-19.852,20.961,12.952,4.4575,-19.367,10.962,12.982,3.7167,22.029
"37",-112.43,-87.768,-80.22,-38.319,14.363,8.7602,-37.106,-17.408,17.495,26.333,51.37,15.465,31.171,39.928,-2.5653,20.575,-11.776,32.044,31,15.304,10.162,-5.6727,19.144,10.014,15.164,-23.963,24.689,-5.4529,-13.033,16.905
"38",-137.09,-69.562,-124.24,41.702,-21.764,-22.391,4.5309,26.096,-10.774,4.6739,4.5139,-2.4182,7.4756,-17.705,-3.3581,-47.306,5.8307,-4.3938,-19.824,-1.5683,20.22,22.876,-7.7761,38.973,-20.552,-17.769,7.5058,-27.531,14.099,20.106
"39",-133.71,-73.234,-81.331,-15.747,7.9122,5.5044,-33.538,-7.4762,10.639,24.349,19.224,9.2894,7.5769,35.408,8.8072,9.9632,-21.956,15.762,19.686,6.7982,6.1799,-3.7814,5.8967,28.305,-2.6132,-11.879,-6.1045,25.412,5.6916,7.0935
"40",-98.648,-72.661,-101.44,-14.898,34.197,18.67,-26.87,-12.358,7.4064,20.329,21.747,4.2748,58.692,17.454,7.4976,-3.2623,-13.247,14.039,48.558,20.631,3.194,-26.506,5.924,24.855,-2.1482,-11.972,26.866,-21.229,0.23508,19.481
"41",-161.8,-65.434,-32.275,-48.272,31.311,-33.44,3.3039,41.713,-24.636,49.971,1.6503,20.082,13.588,9.0947,0.051838,23.581,-1.0195,1.4609,-8.6987,10.549,9.7201,-22.302,2.2084,23.097,10.08,-10.67,-17.646,5.1878,-3.2521,10.224
