class_type,means,sds
rf,0.771334540069113,0.0330141955475299
rf_overall,0.748313312489715,0.0139389250322483
PCrf,0.774016784597663,0.0455601096942567
PCrf_overall,0.723136415994734,0.0495389791856428
svm,0.837715978278756,0.0309862015054016
svm_overall,0.80911634029949,0.0398679830822199
PCsvm,0.781997696231693,0.0437385119579859
PCsvm_overall,0.795063353628435,0.0357080011563827
nn1,0.734967911798585,0.0264533420131468
nn3,0.713427678130657,0.0137468588513144
nn5,0.706648017113707,0.0193254450768579
