"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25","Comp.26","Comp.27","Comp.28","Comp.29","Comp.30"
"DSCN2869",44.3565584630913,-10.9031836310198,-10.6132238778443,0.397002083689007,-4.78692524198677,-7.79928037333036,-2.57078562541691,5.43116582358597,1.30927043237336,-0.258788728690737,2.26401477635908,1.27642754187999,-0.324255666433228,0.210912938688967,-0.147385948016566,-328.286112715372,25.4952752528023,34.837023716586,-9.60045801047092,-11.2516343060414,-1.76882461561337,4.22323843559137,-1.01921030709653,-1.28653266362294,2.24568159001801,1.80620214012278,2.28076082066391,-0.109671237293214,0.77458519652504,1.07459416980675,-112.964020250425,9.66899057902421,30.7982513117012,-6.94651420591534,3.25740018734789,-9.29696993406622,16.5914431163025,-5.66547269930638,-3.16386270215983,-2.13239561863034,-2.4720142796278,-3.3467636440285,3.22658446236435,0.315442182929153,-1.8826891448552,-37.1770438644841,-9.66312802733175,9.49864997253592,22.867046914577,24.3400521605723,11.9056860195417,7.27859055511759,1.9738103995532,-6.28481058686887,2.81936854934413,3.48638773405817,-1.50254126203629,0.383623464114767,-1.39831745974427,-2.24965481155035,34.6354798102182,-44.2662835176903,22.0669313030744,15.9213863248123,-11.3972099257172,-1.26634594495865,9.24561199167916,7.65945024387573,-1.31856566947867,-3.73236186766187,-4.7199332460527,12.2525422857036,3.89247004587996,-0.0353000447576316,7.3407063002238,1.11975444329165,-1.09506224538044,-5.0824784672624,-1.78033176663285,-1.32176459054782,-3.24839080073455,0.00190142353657774,1.26543552473136,-3.80128270638672,0.736523206053478,-2.17528302576335,0.0831380306761704,1.13375567019205,-1.44316911693869,-0.351890662400919
"DSCN2873",38.8464177500825,-8.44006969070262,-15.9797752037057,2.11156901036328,-0.930370913434234,-10.1978123029993,-1.12210229732255,2.65457980886593,0.751526157665873,1.4557134041712,0.433825434644181,2.63631240082055,-0.569588151671942,-1.29694338160453,-0.595974136535349,-385.191354675339,20.2529187013645,41.9347403330044,-11.6541555713968,-15.1499663152634,-5.8640989808498,2.93437461666401,-2.30398496101098,2.61723354844009,2.27867415406896,2.333006901281,0.141666843923185,2.5108191956625,-0.83889266687664,-1.00153829822563,-130.623218457477,7.58837657119105,39.7176580768398,-6.40352415610629,-5.36272985924169,-8.19183369777746,8.78144026425375,5.17705588546142,-7.12405027495463,-2.28524131279102,-1.94808214083271,-4.52803365719343,0.519507267340911,1.78052820629094,0.495075370740163,-73.9656560729277,-10.3670629591317,13.3210289276753,30.9392209210311,6.19529687382932,28.2628069935629,1.01831660292601,2.4059381006729,-3.96850586633912,1.97241627155623,-2.58245717259782,3.04634086143293,-0.657104618435877,-1.7024514605488,1.26458896588017,94.1062663317693,-56.1244368619564,33.051832582705,33.9893622544575,-34.553990833924,0.689581235815191,-6.14004232560495,-1.00228644735493,11.1754476841124,-4.72730144637007,-10.8016168156233,-4.44895305954017,2.48014390878682,6.72806453425062,-9.91136918549493,11.7284524359186,10.3020122769982,1.19490023469344,2.65453818124762,5.81176140058092,-1.01882916002286,-2.95267829235814,0.499673172886461,1.86493551632339,-1.97722771034697,0.589881942686558,1.57222474509985,0.292165793535205,0.0457947907075793,3.08260688132954
"DSCN2877",57.8235866507784,-17.5776380984043,-19.9946340010992,4.89733870128934,2.14074364127577,-4.8719526158111,-1.98047582526208,3.32281679635873,1.50188965714653,0.0948348026069396,-0.178077875409482,0.410155285677993,1.26946931848598,-0.807017834053215,-1.30802812515369,-328.039060464637,21.4655668146721,29.7139316670542,-0.362322885843224,-3.12605781466336,-2.40506462251605,-0.046513084813948,1.70596979254237,-0.563828946354642,0.77447637973331,3.29909737124387,0.501177024351078,-0.384036298597496,0.142594470443663,0.907924425870252,-109.736793437326,4.4057590026393,37.3297385491353,8.14046750060387,-2.23861463318059,-0.961365346378948,1.62217588544793,-2.77052436002077,4.50147179093911,0.253340234952041,-6.31620529154149,0.624898022510266,-1.39616049094447,0.0642134031714042,-0.801022158797945,-11.5526485708457,-1.08595375644717,11.828613936686,16.7564597046513,18.7821179266629,0.498508555867334,14.1272798258071,2.39425328899452,-2.09390988534565,-0.244651091486742,0.225362068366074,-2.0985076678051,1.40301977118067,0.397626400667454,-1.08428118875803,31.887936526732,-33.1024001664121,34.5248893037165,-10.3234192751008,8.32012507424058,-9.3243896696179,10.081736485738,4.88064299338686,-15.3514930624115,-5.1611185851244,12.3208918929976,3.36048741549582,-2.63946621599643,6.1483445288646,2.41421938995659,-4.09910898607871,1.29697156754372,2.45628187422614,-4.26128012882449,2.24772761451418,-0.567881697113796,-1.42345819744139,-0.0959214912874264,3.05018375673599,6.23364775982104,2.38213880590814,-0.063704053812038,-0.205507462805496,2.28707239695558,1.57473615498704
"DSCN2883",68.9613597820214,-21.6531225443742,-16.5943845906959,4.88391006916142,3.75810248289582,-5.21561489050759,-2.98577064557325,2.54069980652887,1.44949435718318,-1.46158077427865,-4.23714702117695,1.15633035078613,-1.35655253205949,-1.01576575135941,-0.230545849999522,-368.100336551365,4.05584661986278,36.1045933670269,-4.1382324286915,-10.6825075623096,-5.28549870686599,1.31811901988256,3.70836233533908,-0.324126059825831,5.57495839953715,-1.23734889385456,1.20618971956084,-0.538867267569234,-1.18962988472231,-0.663812089478329,-122.031308215151,-7.67335218536045,43.3511117309185,-19.2091625342658,-5.35166329935696,-24.8070072558078,6.30485302929393,-1.38357636864656,0.570702088662493,1.60442337355605,-2.44396485114475,-2.35608921354678,1.64691431284135,-0.165936057894619,-1.05140665477104,-18.7240440651578,-8.3058667191179,18.6029055998939,26.8230204911181,7.24795654856796,12.0377332247544,6.68707517724002,2.48337342816941,-6.37714060732927,-1.27420389115518,-1.40981683401513,-4.294129920479,1.28896249003591,2.21755059646865,0.708600683456926,75.6465023899362,-38.6822358456154,47.5553695512746,2.12134746416009,18.8837904366792,-13.7966498076243,-14.832538184997,-0.13807634726195,-0.874108224810477,-5.67679654324525,-7.82906709365785,14.4406425803576,2.0172909743753,4.3491057857068,-8.89535699980125,11.6798435879008,-4.17023351181511,-1.4513364820577,-6.61825455772619,-10.614673960448,-3.49046941933505,-1.75742774812244,-0.255105771296279,2.33142470238588,-0.72272630697254,-1.51920418020951,-5.64857112091888,-0.353303258972488,-0.769196574466335,-1.54125149422387
"DSCN2887",72.4095026245628,-25.9931897942149,-27.4130747235236,5.93511872255296,-1.18394355364451,-6.02260700014553,-1.44601036514561,4.73015735978626,-2.38705444490138,-3.59748739550135,-3.16392632021537,0.922128452653478,-2.64413842899248,1.8223124973815,1.6089482365441,-323.09093955514,36.7422272370393,25.3348449643287,-22.2359821526406,-16.7648532113506,-7.28225461737325,6.46316577968429,0.147863544128217,4.20790143100428,2.99415734691133,0.189982325327825,1.14887232990877,0.0408067249323816,-2.9494621133611,-1.53373646243657,-117.547375895013,33.9414729548317,19.3256509035117,-32.5570713352126,-14.0246957467078,-17.3475201152875,10.5505464467886,0.377314497280305,-2.51033623270846,-3.62998761394105,-0.6108909346436,-2.74400242581436,2.69918753452232,0.258398817080044,0.277792435492842,-54.1209542446294,6.26852778817706,20.2580385055556,24.9194572320832,9.65683427031351,19.0504752744657,-0.243085611839349,-0.526734334142813,-10.6418634429212,-2.06703752500427,-1.91547585120724,-2.6632075680082,2.54509566332255,0.883952713133992,-0.929380227797798,47.4597990824871,-7.12726780959464,-15.2357911886889,29.3323090235215,1.316617349709,0.684304140477006,-17.8181064166907,0.0530389172092395,1.4609142399713,-2.12868591567898,-10.9335644821425,1.10254533487434,10.5867605750973,-10.4940399930598,-1.01283893520686,6.53282111166325,-2.41701472814945,-0.63039383396707,4.87546857533227,0.644208934354568,2.64310038505279,-0.456985653769231,-5.78146533737047,-1.09304737646891,0.599384972790385,3.42439260033186,-4.77488449525331,1.16583623598106,-2.82427252487282,1.88442940776545
"DSCN2890",63.0447236987016,-16.9099055352919,-19.6379613708786,1.6864797310186,0.543711956493058,0.559717286909928,-5.33002632218792,0.682874602744983,2.03485528203396,0.12968223173101,-0.9138608441858,1.48109679639641,0.364037327019615,-2.382259805878,0.214470042741536,-323.331334002684,9.42569969282021,29.0608024605439,3.98919324800548,-4.86496043026471,-6.60104865248137,3.15954270663421,0.52214872582381,-0.4495584722636,1.53693036323603,2.56534695930907,-0.105291455450427,0.438347124404093,-0.0344365492569744,-0.391188805653335,-105.577200725563,-7.10682207788425,33.5155028899249,9.89867047354889,-2.90067483566073,-6.87107270287234,5.45285014595093,-4.88936685019128,3.50097420056603,-0.19680734667652,-5.86172949370641,0.946070391311897,-0.430205457435173,-1.72327490359384,-0.324791908893558,-25.9777761212977,-0.534354078622587,11.3009348886474,16.2574709327631,22.9603130252452,-0.658580763402078,15.7192252444576,5.42730435872683,-5.88673800999001,-3.40237515333512,4.20221742562575,-3.19851462850149,2.19741446814379,-1.14590789396416,0.230161563825917,26.7783246975901,-22.4178496609626,49.8046010807967,-1.00983065655,1.51397244181656,-12.8501264818203,7.31205963814803,2.1636469497115,-10.7719117955587,-2.75761834862547,4.84213539686306,6.41241687956474,-7.4967752751085,2.93566888244905,4.39761277738082,-8.39381204948851,0.784391540046435,2.85077826153749,-3.72857181626376,-4.63031653492798,-0.386606733985472,-2.38031247710569,0.9841432193613,-0.0986657573616342,3.56717267418629,1.83880313734457,-0.543636834910138,-2.28624104278879,2.4081075299949,1.74071843686022
"DSCN2897",28.054429347751,-6.46639033579028,-9.69489072664457,-7.67398802300015,-7.25640082766588,-2.37716029578637,4.51053174965046,2.13289471398747,0.668063078291034,-1.43716525038068,-1.24239147093308,1.0214792521223,0.301265445102507,-2.32627497778368,0.396130765605913,-339.701883378024,40.8959468865921,25.3583349035625,-22.6452963158332,-11.5669176857032,-2.13875298834381,1.52338714912612,-3.24641942762009,1.3241442666257,4.24490721912987,5.08027267815919,0.798688552041895,1.0761601124116,-1.61128080821646,-1.12220633789031,-116.043849610316,50.4404505190137,19.8804978013129,-29.4051514227316,-14.2890799869876,1.11262722222197,2.39882230561575,1.772814807219,-7.46906019425358,-0.909331644526062,-1.54763797898424,-2.61927563371435,0.552329904732231,1.87208451878239,1.17291443183465,-27.0781259289157,-5.03138604558898,-9.91388451927798,34.429372736568,21.871931662414,25.5491247304987,-5.33659092516165,0.85184190949006,-3.88651420673857,-1.88697842304497,0.116863720691395,0.172751898065728,-2.67053328934853,1.15109605429983,1.11298151131449,44.9110864759061,-65.1374044117279,-22.2080494369593,11.2815684292364,-1.04402832138414,11.0496839608006,19.0209306194057,-1.54133634753601,14.7010075883841,10.7346870584247,-9.73540730137132,-11.8077376667089,15.5822927193894,-18.7862719372648,-1.12590765532979,6.76760953372445,0.0558920559021944,-4.45578510321657,-4.92756027323655,6.41915807241093,2.53269387566298,-7.58639424905548,-7.24388027721696,8.93446460275655,-3.02410586397424,-0.752253680041838,-1.26257683433893,-4.60624708217922,-2.91248861500522,2.15902932947498
"DSCN2902",32.9272439746872,-8.74244908345468,-11.1877396495497,-0.446074890657101,-0.302346142311738,-4.04844702311402,-0.756798217196453,0.861045324381377,-1.45103661141682,0.51965593490944,2.95427468669878,-0.259784793877656,-0.3941894872621,0.763498227682789,0.684114950126025,-342.605653856766,16.8364985384933,32.2604076543251,-3.29800575990083,-5.34155173232453,-2.00362407688826,-0.203796709382412,-2.26309340852864,0.333562251924388,1.29897643188813,0.27254045396396,0.629031538535061,1.44310336554736,0.54529646122518,0.061397754578231,-109.515690932145,-4.60882683047639,37.3155374777209,10.745505320875,-5.09006579116439,-9.46687295118744,9.43696517584191,-0.661677015463945,-0.239937523397858,1.78238147964318,-0.29610441949349,-3.80537636016969,-0.62340096841475,-1.67146676944677,-0.128285315150089,-33.0946137687478,-0.62468827374218,1.29212544106913,12.7955798289618,11.5767024034964,9.84239183212622,13.1250747834123,9.09245095493872,-5.37157650768743,0.359626309238781,1.40824237468951,-4.17778286787,1.40953211442671,2.22159249935998,-1.33277983915185,38.468118414205,-52.4063506882023,42.080416792754,-0.766935591213249,-17.2285949822589,-14.8505254257719,10.6025487941952,-1.99175661048255,4.27305862950758,-5.01521184193817,-2.18937278021026,-2.65772673635814,-0.726750755648176,14.0605443924581,4.31690405972398,0.24449835867823,0.83774779969718,6.10597727647348,2.1025974645923,-2.76646728562762,2.7168551441523,-3.10268526459304,3.52096982018859,1.83473015148059,7.30078780497888,-0.617794413922128,-1.33918822817138,0.534401787714022,-2.70060734191569,1.34514513196673
"DSCN2906",57.3585789321763,-16.5515021395596,-22.070505526831,2.09051087679632,2.65883786797518,-6.8447392676776,3.22097845384832,4.37926638240622,2.01666676257329,-3.81419554511924,-2.5656388071807,-3.22907049971468,1.01564283640236,0.0667954006262942,0.348959143252843,-352.790013227961,26.5210956529499,30.4141347910526,-11.2262457642381,-12.6049273747935,-1.70838130858733,4.01348650818361,0.0954099028559477,-1.31709191671359,-0.882196277007427,2.16289534210591,2.3884045143899,-1.7789810160246,0.224555534600396,0.034399134990412,-109.521140159692,0.0902867136101068,28.5761511573094,-3.59198302147975,-6.50884749289901,-20.6987067188733,-5.2790217134065,-8.90301367791113,-5.15238579607717,4.86163229714284,3.84374895196233,1.77403281376159,2.9941010276583,-1.5592816077229,1.22009909348536,-25.0353334585446,-7.45252323998648,28.4209139075332,17.0325462762358,14.0555004919888,-4.12204083067591,10.4447455509294,0.84038773624783,-3.98582998672984,6.57317637900962,1.82301856240002,-5.43202085521419,-2.54680179384734,1.71828797151867,-1.8766325120275,56.9061491408958,-38.1442918694876,28.2204571760555,3.33647031799595,10.2367267236528,-12.5021048350881,-10.6093132121528,-7.81315543343125,-5.62862090258077,-5.25080914522122,8.56370276813633,3.8597555059729,-11.859151219246,10.5862645065101,12.3919136842696,-3.25233635871303,0.639227658577697,-9.02875169520525,3.65799008179,-3.88657803690211,-12.4734435382506,1.57711498906443,-3.00846142571495,1.07919215785029,-0.815431789260793,-0.176515745656703,-1.97308799296628,4.21837688797127,-5.98664131083382,1.78476847651554
"DSCN2910",45.3116073951838,-14.8368429066167,-15.0210589315916,3.89993341780558,-0.589871557634656,-4.68195420562851,-2.58187751519896,3.08023767138245,0.111602331497494,0.0148400534177408,1.79619101396051,1.63855580009597,-0.177313744795587,0.0101241963730338,1.13773199558207,-344.291146283822,17.2876189338185,34.761388661101,-1.90477724039328,-6.57489919656552,-2.1268920554824,1.82893129870067,-0.815758176463048,0.0669602176126446,-0.0223186881225134,1.15562823807393,0.715286576048587,0.297029413525805,0.0441612184721656,0.430496240541918,-116.459907761595,0.2215144990295,42.7457336792296,8.51152430784895,-2.7985768867597,-2.71128640723358,11.659502074418,-3.43454441575589,3.07083351371766,-1.39663882602117,-3.54269525339653,0.56913134004432,-0.973681026275835,-1.21313933913432,1.13382883787863,-20.9331216239321,-3.21730096473868,3.98560845379368,15.7655099945159,16.769097035926,7.26533626651251,14.9971158924895,2.63182520099587,-5.3609528310479,0.741629192514348,2.49663157139044,-3.28929486145082,4.0480389724443,0.154090948029151,-0.903659157930587,45.7849116534572,-47.317835335794,40.8041130741426,-5.36755075529031,-5.73967358895922,-12.7958207968829,13.2778071002375,6.55844789708509,-7.40645264347028,-7.60665504520475,3.63964730041532,5.27435899603617,3.19148172341657,10.2004805867889,-0.255860357094129,-3.72148975222776,-1.67758525623305,3.84756995491755,-3.46472172035362,1.40171102531112,2.67828638311227,-2.4479945293044,0.636018797057338,-0.134730999151495,5.21306104786108,0.0696173650210192,-2.92583434158719,1.78162567694555,1.17169504783582,2.16171571854914
