"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"3",-0.98985,-1.0849,-0.6826,-0.43676,-1.143,-1.6045,-1.8053,-5.163,-4.5914,0.82576,7.6247,12.723,15.121,9.5459,1.5549,-1.8437,-3.3406,-4.0357,-4.1937,-8.1876,-11.423,-9.6261,-6.0903,-3.3862,-2.3028,-2.8626,-5.5625,-8.8433,-7.216,-1.3814,-0.33074,-5.2892,-11.084,-14.116,-11.635,26.841,41.787,29.267,9.3642,7.5924,4.5266,1.4544,0.97227,8.2193,14.551,15.393,12.302,7.7778,5.5831,5.3761,6.197,5.7487,5.0448,2.3768,-0.076613,1.7783,4.5611,7.3334,6.0109,0.73646,-4.9548,-3.3132,4.925,6.8084,1.9743,4.0477,6.0441,2.9185,2.3188,0.69184,-1.6648,-1.1986,0.3285,-7.5154,-24.6,-26.773,-18.455,-7.7606,-5.2665,-5.82,-2.2283,-0.063807,-0.1374,2.0737,5.2108,5.419,5.6281,4.5956,-6.3976,-15.226,-12.534,-9.2273,-6.469,-3.048,-5.4116,-10.357,-10.783,-9.8398,-8.8147,-8.4903,6.9268,6.8314,4.9491,2.9004,1.5312,-0.19568,0.084924,-5.8646,-13.199,-13.13,-22.78,-28.843,-28.582,-21.204,-11.17,-10.308,-9.3703,-8.5597,-7.8419,-7.694,-4.8806,2.9979,9.298,10.907,11.671,10.773,4.1014,-0.98799,1.8537,6.4064,8.0292,7.1092,4.7588,3.6386,4.7616,-30.388,-18.334,2.6207,2.5015,2.5465,4.7905,7.282,8.181,7.0728,3.3297,-1.1707,2.4406,10.684,11.319,6.5823,4.3046,3.2014,8.4543,10.866,8.5682,8.5276,7.8119,3.767,3.0126,9.7977,17.789,14.332,3.1893,6.8091,2.3138,-16.555,-19.938,-13.276,-7.9503,4.8716,16.534,19.088,17.477,0.084596,-8.6455,-5.0828,0.18741,-3.4691,-9.0013,-9.907,-6.2478,-0.23919,-5.048,-8.4873,-11.945,-16.05,-16.312,-7.4124,-2.6668,-0.34759,1.466,1.1244,0.45479,0.14172,1.2452,2.6249,5.3729,9.053,13.054,14.437
"5",1.4602,1.3651,1.14,0.82219,-2.3202,-4.6987,-2.7732,-0.30444,0.4081,2.2986,0.71887,-3.8023,-3.3357,-3.4424,-9.1068,-12.159,-7.9577,-3.3783,-0.9075,1.398,4.2088,4.455,6.3423,11.01,13.009,12.632,9.0435,3.1087,-3.6827,-10.014,-15.914,-24.154,-29.983,-28.627,-27.119,-29.947,12.764,32.516,42.314,36.107,-18.225,-42.429,-43.855,-25.714,-2.7453,5.013,4.7197,5.4871,8.6765,12.411,16.356,16.743,16.472,5.2124,-42.808,-48.941,-20.242,-17.298,-18.389,-15.64,-14.043,-11.379,1.4289,10.488,1.3335,-5.4948,-3.2579,-6.0388,-5.757,-1.6123,2.5286,3.9006,5.288,6.8513,13.232,7.9416,-5.9402,3.7525,14.083,3.1932,-3.9121,-11.719,-13.27,-11.284,-12.465,-13.235,-14.317,-21.949,-28.655,-13.615,16.656,19.429,9.6949,10.068,12.693,12.021,11.614,10.626,9.4621,9.0176,-14.125,-14.22,-14.729,-15.332,-16.793,-17.214,-18.333,-19.572,-15.977,-4.1242,9.7281,15.471,15.889,18.958,19.242,18.669,21.97,21.503,17.29,13.618,5.3514,-5.2814,-16.983,-27.469,-31.156,-31.5,-32.291,-34.502,-35.769,-36.867,-35.813,-30.562,-19.696,-3.3037,13.171,22.865,49.203,32.588,-42.318,-6.0694,30.752,20.496,22.715,27.711,25.363,22.77,23.962,24.845,23.714,19.443,5.3358,-14.961,-30.649,9.335,23.415,18.805,33.068,28.191,19.371,19.454,19.885,18.205,19.394,18.422,-3.2346,-28.851,-28.66,-17.236,-7.4941,0.21764,1.6634,1.4361,3.1706,4.6153,2.1348,-16.523,-27.126,-18.72,-11.419,-15.399,-18.256,-16.495,-12.203,-11.112,-15.02,-16.489,-13.528,-11.997,-7.5867,-11.474,-15.672,-18.638,-9.7192,2.3466,-4.0373,-8.5386,-13.837,-16.894,-18.298,-19.36
"6",1.4578,1.3627,1.0228,0.3988,-0.046073,-0.49318,-1.0112,-1.6248,-2.0664,-3.4799,-9.48,-4.3551,8.7936,13.799,13.966,12.259,9.1152,4.8584,0.60768,-2.6894,-3.8352,-7.5995,-9.5044,-7.7749,-6.6799,-5.7033,-6.0206,-7.9547,-9.016,-8.5446,-5.3227,-2.9505,-6.3587,-8.9173,-12.432,39.356,39.396,5.9924,-3.6358,-7.0088,-6.5035,-5.0342,-2.1243,2.5238,5.8474,6.5247,10.122,11.047,8.9636,10.428,10.215,8.5538,7.2148,-5.4234,-9.7038,0.67284,7.4119,12.325,12.545,6.1873,3.3688,5.2579,7.1254,6.3979,1.4477,0.51236,1.5512,-4.1172,-7.1469,-8.0995,-6.803,-3.1587,-2.5871,-6.1378,-12.507,-14.521,-7.0485,1.4298,5.9193,5.9645,4.6132,3.3671,-0.10366,-1.4661,-1.1855,-1.943,-2.1793,-1.6805,-7.1638,-12.776,-10.712,-5.6087,-1.5002,0.044712,-3.572,-9.9388,-11.891,-11.74,-11.505,-11.636,7.3361,7.2408,6.8219,6.419,6.2408,5.4928,5.6148,4.7145,3.4761,9.9875,-1.2121,-15.087,-20.741,-22.445,-24.663,-22.659,-18.899,-17.848,-14.81,-10.076,-4.9961,0.56362,2.9448,2.5597,2.8349,4.3362,4.4364,3.4892,5.3727,10.154,7.9491,2.5346,2.4209,3.9175,8.934,-30.463,-33.832,1.5263,9.0582,9.5134,9.4092,9.9968,9.8532,6.6192,1.7764,-1.0687,1.764,10.184,16.216,11.07,-4.8438,-16.762,-9.5093,9.3943,10.693,12.725,15.536,9.7419,8.4608,17.905,18.892,9.844,-3.5424,-3.5727,-2.7754,-14.907,-10.072,5.4204,15.164,21.289,20.327,12.934,3.4934,-2.3992,-5.448,-3.6344,2.0925,0.16352,-4.2753,-3.2114,-4.0134,-8.3316,-11.326,-12.978,-15.514,-17.382,-16.467,-9.9012,-5.5871,-2.9558,-0.79132,-1.9635,-4.0057,-4.6272,-5.3518,-3.9263,1.2498,5.2037,7.9479,8.5364
"7",-1.4697,-1.5648,-1.4891,-1.2399,-1.1625,0.85092,2.8417,2.5137,-3.6386,-9.9417,-13.541,-11.493,-0.61573,10.278,11.875,7.5885,4.2138,2.2741,0.43181,-1.2913,-4.0413,-7.0935,-7.0238,-5.2508,-4.5476,-4.9556,-2.7153,-0.27834,0.79732,2.4057,0.41206,-4.1049,-9.526,-13.218,-12.395,4.1723,9.4275,14.479,14.102,11.125,11.879,12.515,9.8919,8.6599,9.0534,11.876,14.068,11.836,6.7341,5.6593,8.092,5.6748,3.9287,-7.6034,-11.229,-6.4466,-11.706,-16.621,-15.363,-10.404,-10.016,-9.8566,-7.8386,-9.208,4.737,10.878,7.8028,16.577,15.961,15.776,15.772,7.1575,8.4199,9.839,-6.7457,-8.4097,-5.0886,-3.1011,-5.4794,-5.6764,-3.7461,-4.3931,-6.393,-7.6956,-8.5066,-8.4703,-7.7556,-5.3969,-10.959,-18.652,-14.855,-7.1657,-2.6771,-0.87876,0.28294,-0.26768,-1.041,-1.4982,-2.1913,-2.6925,-1.5136,-1.6089,-0.83904,1.0047,2.0267,3.6026,6.0099,8.0053,9.7723,11.739,11.233,-9.765,-25.96,-29.432,-23.68,-15.164,-15.178,-15.014,-13.761,-11.046,-7.9762,-4.4021,0.29002,2.7625,0.86426,-3.8784,-8.6357,-7.8906,-0.058704,6.5507,8.619,8.1367,6.5697,6.6762,7.1024,-9.4285,-26.815,-24.393,-12.052,-3.2265,-1.6501,-2.1045,-0.092249,7.4692,12.382,6.8536,1.0664,6.5021,20.441,23.189,2.4235,-19.466,-20.19,2.5803,7.6689,4.5754,5.6401,10.423,10.764,6.5239,3.8225,0.47875,0.027134,9.8613,20.943,27.056,27.415,3.13,-15.533,-16.481,0.33296,37.428,43.044,18.371,-2.0532,-1.9882,-0.10472,1.3943,2.5257,2.1579,-0.77072,-1.7071,-1.6419,-3.2771,-6.5893,-11.174,-15.444,-14.553,-6.1577,1.7043,2.8676,-0.039277,-2.1231,-2.0959,-1.0154,-1.3953,-3.0298,-4.3802,-4.8119,-5.1433
"8",-0.75598,-0.85104,-1.0761,-3.5117,-5.4197,-5.1472,-4.8137,-4.8891,-11.992,-17.386,-16.964,-13.901,-8.4544,-5.5177,-5.843,-7.3562,-7.8097,-8.0905,-15.407,-20.425,-18.003,-14.831,-11.586,-13.803,-15.726,-16.631,-18.919,-19.788,-18.533,-10.906,-3.064,-4.7219,-5.473,-5.8317,-9.2514,-13.626,-18.61,-17.009,-14.883,-7.3862,-2.4424,-3.9709,-2.0222,-1.3865,-3.1201,-2.7122,-4.2565,8.058,9.8892,-2.0349,2.7997,2.9138,-9.7545,-6.4216,-6.2944,-12.833,-7.0881,5.6352,8.7557,9.3504,11.32,9.655,5.298,15.585,15.167,-25.047,-20.259,10.521,19.447,19.354,15.98,14.884,14.142,17.361,21.417,19.394,14.767,17.814,19.929,15.464,9.0447,11.805,8.3528,6.9092,9.3541,12.58,11.547,9.8478,5.3641,-0.13685,-0.23588,-0.57331,-1.3051,-2.9323,-4.3462,-5.273,-5.3362,-5.681,-5.7228,-5.4579,2.696,2.6006,2.092,-2.7703,-6.9877,-8.3083,-10.763,-10.395,-9.2669,-5.8163,-3.2398,-5.657,-9.49,-11.123,-10.029,-7.7351,-6.7781,-5.4404,0.48389,9.2723,14.215,9.2405,-1.2505,3.287,14.662,13.295,8.4776,10.321,16.055,14.83,10.677,11.697,12.624,14.448,10.087,1.8406,1.8538,-2.0706,-6.2762,-7.2458,-5.8939,-4.2306,-3.8777,-3.5552,-3.8737,-7.5992,-7.4082,-18.389,-32.997,-53.579,-56.414,-32.736,1.4146,14.684,23.514,26.07,22.049,9.7515,4.5497,-0.11513,-10.248,-28.413,-36.707,-40.553,-38.084,57.788,66.086,29.633,22.448,14.539,0.12565,-12.739,-14.615,-7.2376,0.89395,-1.1015,-6.7887,-6.7147,-7.0392,0.15092,10.861,5.8921,6.6616,3.3689,-6.679,-14.159,-12.145,-2.1185,-2.3837,0.10008,3.9082,4.3266,4.4122,5.0507,3.6904,-0.52134,-3.0081,-0.47111,6.9013,10.911
"9",1.5219,1.4268,1.2017,-1.0482,-3.0451,-2.9528,-3.0418,-3.3504,-2.8636,-3.2158,4.1178,13.646,14.559,8.6561,5.5313,2.2603,-1.1769,-4.037,-5.611,-10.412,-13.458,-11.244,-8.5169,-6.9419,-6.002,-4.894,-2.829,-0.76504,-2.0023,-2.0087,-0.55069,-3.8889,-7.8271,-8.8493,27.231,35.758,33.365,21.411,4.9431,3.7408,0.99494,-1.4411,-1.9572,-1.1129,8.4335,15.946,13.838,6.6856,3.6526,1.8677,-2.2283,-2.5886,-2.7764,-2.9228,4.898,9.6379,6.2643,9.7998,11.428,4.039,-4.4079,-5.9743,-4.1071,-5.0144,-4.2872,4.9187,4.8614,1.8553,0.43942,-3.9863,-7.2609,-4.0711,-3.4025,-12.311,-13.742,-2.4007,10.16,5.6644,0.25422,4.3436,1.3121,-2.3309,-3.0404,-5.02,-6.8399,-6.3658,-5.3926,-4.9898,-9.2954,-11.379,-4.4586,0.91673,1.5584,-1.2928,-3.9542,-6.3602,-7.1348,-7.2957,-7.2135,-7.2557,1.1613,1.066,0.55733,-1.1493,-2.3472,-3.2601,-4.978,-4.2912,-6.6099,-3.0261,-17.653,-28.122,-29.609,-22.519,-13.855,-13.66,-12.04,-9.5983,-6.8857,-4.1583,-1.3111,1.5374,1.5675,-0.55371,-1.0296,2.954,9.7481,14.248,14.24,10.405,7.9875,7.82,5.92,3.9247,-12.146,-30.759,-21.21,-2.8914,1.4519,0.8892,4.0599,7.4342,8.5779,8.0434,4.4186,-0.70763,0.96097,13.649,20.047,12.28,3.9471,1.6614,14.062,18.587,11.77,12.268,16.251,9.3579,3.3488,10.828,18.464,20.185,17.936,11.907,1.0552,-4.9321,-1.0202,5.3973,13.7,24.67,29.189,23.018,1.755,-10.408,-8.6917,-12.556,-13.289,-10.268,-9.4718,-11.732,-14.581,-10.842,-6.0588,-6.8802,-5.5272,-5.2727,-7.4798,-4.811,-4.7547,-4.487,-3.6826,-4.968,-3.1145,0.55354,-0.28769,-1.9651,-1.6204,1.35,5.2274,6.7197
"11",0.7861,0.69105,0.46595,-1.6479,-3.5351,-3.2018,-2.7623,-2.7753,-0.55467,1.2716,9.3897,16.366,15.586,9.7995,7.8322,6.955,4.1759,-0.18548,-4.2454,-11.436,-14.883,-12.327,-9.7617,-8.946,-8.5883,-7.6634,-5.7154,-3.3444,-5.0382,-5.2826,-4.4062,-7.7441,-9.8463,-5.1501,-3.5765,28.356,45.047,34.948,8.1243,0.085379,-3.7516,-3.1662,0.31984,9.7158,17.046,17.252,12.71,7.8906,3.5861,0.25547,0.7853,0.47549,-1.6535,-7.8843,-5.0341,-0.53289,-2.6016,-0.80178,3.5087,9.8718,6.1328,-1.3051,1.5945,1.395,2.851,12.12,14.38,4.6859,-4.1399,-4.395,-3.0739,-0.85711,0.0083214,-1.1619,-1.476,-4.0051,-5.9263,-6.4215,-5.0553,-4.4728,-1.5617,-0.94584,-0.3119,0.93164,-0.0036003,-0.92013,-2.6829,-2.7338,-5.0873,-14.1,-13.823,-5.0864,-1.0675,-0.82853,-5.2963,-11.076,-12.201,-11.63,-10.839,-10.598,0.21179,0.11647,-0.39216,-1.9456,-3.0097,-4.1707,-6.4711,-6.1119,-10.438,-8.3998,-20.69,-29.512,-30.186,-23.154,-15.26,-16.508,-16.03,-13.431,-8.7032,-3.1927,-1.8461,-2.0956,-0.84877,0.68297,2.5323,5.9257,11.916,16.613,15.888,9.3827,3.9278,3.969,4.355,3.9043,5.1076,-9.2922,-23.194,-19.413,2.9584,6.9645,9.2159,10.261,9.7023,7.0048,1.4145,-1.7093,5.3884,13.63,11.377,4.3829,2.8147,-0.739,9.1836,16.587,12.126,10.827,13.703,13.185,7.866,3.531,15.607,27.805,20.054,14.767,10.454,-6.8761,-7.4478,2.9758,10.005,14.736,11.115,5.2872,-1.5925,-5.6818,-3.7559,-11.172,-14.605,-11.736,-4.6027,2.4934,-0.82938,-4.0528,-3.603,-3.9102,-7.6676,-8.1594,-10.852,-9.1419,1.6786,-1.4341,-8.9316,-11.705,-7.3185,-1.0044,-2.6785,-0.90545,3.2121,7.2157,11.368,12.853
"12",-2.2603,-2.3553,-2.5671,-0.95294,0.943,1.2058,1.3953,-6.4754,-13.059,-15.294,-30.885,-22.276,17.651,31.395,27.112,21.448,15.48,10.529,6.1177,4.6041,4.1089,3.7977,-3.5394,-10.337,-10.039,-9.9904,-11.891,-11.29,-10.633,-13.721,-14.396,-15.168,-18.337,-20.266,-22.575,16.556,26.614,16.736,11.821,-1.8228,-12.392,-14.947,-13.574,-12.094,-6.87,-1.27,1.1711,1.8476,7.7456,13.356,14.804,15.467,15.285,13.812,0.18857,-15.192,-11.325,1.8145,7.831,11.289,11.248,6.557,7.5117,6.1489,3.9688,13.415,13.841,8.6739,2.5209,1.3957,3.0972,4.5775,5.7671,8.295,9.8905,6.6596,-5.5298,-12.449,-13.019,-11.29,-12.784,-9.69,-7.7601,-9.6441,-8.001,-5.172,-2.464,0.89659,3.1634,3.1079,5.7503,5.8982,-5.1991,-8.2775,-3.505,-5.6543,-6.3774,-5.887,-5.2324,-5.1663,-3.7639,-3.8592,-4.2858,-3.9481,-3.1578,-2.4847,-0.67935,7.0274,13.959,20.562,9.9458,-15.694,-31.351,-24.919,-18.68,-22.027,-24.042,-24.908,-24.379,-21.49,-17.733,-16.221,-14.499,-9.1071,-1.5568,0.031018,-3.796,-9.6435,-12.035,-8.2264,-0.53086,4.3732,5.3316,2.7441,4.5366,7.087,-13.041,-29.055,-6.4035,8.5324,13.865,15.922,12.924,8.5212,11.059,11.58,9.4049,9.2645,13.079,17.077,13.267,4.3773,-1.2641,6.5324,19.326,27.568,26.84,17.604,11.969,13.15,16.874,21.41,16.276,-5.4331,-19.089,-8.5114,6.0048,8.5557,11.504,19.652,18.049,12.351,10.429,12.274,15.446,11.663,-2.5617,-9.1054,-9.9581,-10.047,-10.829,-9.2966,-4.9118,0.48303,11.304,15.785,10.356,3.8332,-12.162,-16.261,-15.921,-16.976,-14.974,-6.4093,0.051667,-0.99861,1.7287,6.807,11.277,12.451
"13",1.8954,1.8003,1.6032,1.6696,1.8262,2.1251,2.5457,2.5416,2.0632,-14.384,-25.337,-4.2377,18.342,25.579,24.387,19.473,11.543,3.6947,-0.13403,-1.2638,-6.3609,-10.721,-10.005,-9.0069,-7.8499,-6.6785,-7.7006,-10.188,-10.386,-10.83,-11.636,-12.538,-16.284,-18.574,-21.156,27.654,33.013,17.777,18.957,15.749,10.93,5.4851,0.68791,-1.9333,-0.90565,2.6376,4.9783,8.6635,11.053,11.479,12.915,13.038,12.124,12.191,7.0677,-2.5682,-9.5987,-9.1474,-4.3196,-2.65,-4.8856,-6.3229,-7.0372,-9.65,-7.1681,1.1654,4.0772,10.706,14.939,11.402,6.4819,7.1254,9.2775,13.223,14.572,10.576,3.1596,-3.2631,-4.6861,-1.3439,0.96178,3.9855,4.5446,0.0074863,-3.6103,-4.0092,-3.2559,-0.50686,-3.9569,-11.07,-7.4985,1.9958,4.3964,-5.0926,-11.452,-13.975,-14.574,-14.769,-13.681,-12.612,5.5521,5.4567,5.0234,5.6777,6.6157,7.3606,9.4406,12.247,16.421,21.885,11.819,-13.704,-21.574,-23.454,-22.334,-20.435,-20.55,-18.56,-17.149,-16.413,-15.478,-12.203,-9.0638,-7.2401,-0.61839,6.1422,6.0085,3.195,6.5918,10.992,8.1024,3.9469,4.0598,6.8999,14.627,-3.1181,-25.098,-26.313,-12.657,-3.4029,2.8455,7.909,12.059,13.936,12.874,8.9751,5.4236,7.924,14.121,13.883,2.5286,-11.306,-17.917,-12.276,0.21961,11.244,18.293,19.995,14.742,6.6483,4.4481,6.6766,14.6,28.163,18.538,18.728,17.985,-13.685,-19.556,-9.8298,-7.0232,-9.6434,-3.7217,7.0613,10.716,5.3836,-0.039966,-1.3518,-1.6379,-3.2806,-6.9793,-7.4874,-6.2709,-8.7114,-10.569,-12.186,-13.489,-11.771,-7.4065,-1.3116,-1.6994,-6.307,-7.0404,-1.826,1.6548,-1.7352,-4.5666,0.28897,10.618,15.6
"14",1.6314,1.5364,1.2779,0.32947,-0.4691,-0.29082,-0.84186,-1.6644,-1.9984,-7.579,-16.448,-25.583,10.498,39.042,19.852,9.5772,8.2172,8.1648,5.4593,3.4985,2.4534,2.4943,-3.7721,-9.5362,-7.6246,-7.0445,-10.24,-12.612,-9.9333,-8.4614,-11.88,-14.893,-17.568,-20.873,-25.877,-22.496,9.2102,31.265,29.447,10.06,-9.69,-19.821,-20.791,-17.112,-11.869,-5.6045,-3.2004,-2.2748,7.2291,15.105,15.061,14.088,18.326,15.067,1.2901,-12.699,-14.045,-5.0192,3.9955,8.7557,8.7749,4.2431,1.4571,1.5852,4.7417,13.623,11.509,4.2691,0.21579,-0.65994,0.25382,-1.2033,-3.7646,-2.0666,-0.69201,-4.462,-12.881,-12.117,-6.0482,2.2555,5.2637,3.3966,-3.7495,-9.2742,-9.7019,-8.0935,-9.5642,-9.5596,-2.5498,13.861,18.719,9.9754,-3.8778,-6.8918,-5.1991,-3.8822,-4.8554,-5.0792,-4.9861,-4.904,6.6413,6.5459,5.9943,4.7142,3.8646,4.3555,4.3335,5.2892,9.6171,17.347,26.269,-4.9414,-37.051,-28.968,-17.028,-19.519,-21.676,-23.347,-22.792,-18.981,-14.224,-12.857,-12.12,-5.6091,6.2816,9.2314,0.40976,-10.1,-15.464,-14.317,-10.456,-7.665,-4.9595,-3.6998,1.6763,18.7,7.9158,-22.133,-12.559,12.629,22.869,25.641,21.226,14.884,14.453,11.645,10.262,10.331,9.3088,4.3396,-6.2961,-16.565,5.0556,12.296,13.462,26.308,26.672,19.627,12.184,4.1933,5.5613,16.477,16.323,4.7346,-5.1348,-7.1746,6.349,14.671,16.719,23.383,23.282,18.377,13.986,11.025,12.156,9.7324,-3.2676,-11.184,-13.56,-9.2537,-5.1351,-7.9266,-6.7165,-1.0988,8.2148,13.866,11.079,0.4751,-7.3404,-21.811,-30.682,-22.012,-9.4458,-9.5312,-6.9961,-2.0059,-1.6453,0.45385,4.4781,6.528
