class_type,means,sds
rf,0.819952774498229,0.0248635651577954
rf_overall,0.816912632821724,0.0165327464381344
PCrf,0.816514167650531,0.0402517897548047
PCrf_overall,0.773538961038961,0.0181031925602935
svm,0.878468122786305,0.0328275262053919
svm_overall,0.868683589138135,0.0267213809113947
PCsvm,0.831655844155844,0.0335251075320501
PCsvm_overall,0.867030696576151,0.0236795285092436
nn1,0.82874852420307,0.0143029012500758
nn3,0.85698051948052,0.0280176267340867
nn5,0.861806375442739,0.0435039303101319
