"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",102.13,73.94,64.143,-34.298,-26.14,1.4588,27.457,-22.974,-25.348,-20.009,0.99522,6.1502,-8.1839,-6.6957,-15.15,18.943,-28.604,5.948,-7.8732,9.7544,2.4769,-8.3528,13.964,20.743,13.341,-11.668,2.4143,0.79766,-12.13,11.287
"2",103.09,73.719,58.013,-51.489,-36.84,6.3401,18.873,-20.301,-47.487,-21.167,7.7624,15.793,-1.7267,-16.531,-12.361,28.824,-17.983,7.7245,7.9648,14.203,6.4525,-14.55,31.396,19.144,-7.1561,-16.342,-9.8916,5.4192,13.293,10.416
"4",82.149,65.49,50.615,-40.552,-19.185,15.531,23.574,-18.903,-48.013,-13.99,0.0045293,14.852,-13.019,-25.474,-15.959,13.45,-17.851,11.646,-2.7599,-3.9757,14.723,-10.977,16.189,3.8922,7.0659,-13.015,-1.104,-2.1345,4.8477,12.825
"10",-78.803,-46.143,13.22,-33.607,61.612,65.895,36.303,40.082,38.892,21.285,26.869,46.453,29.028,-19.576,-5.8413,-34.656,1.209,16.462,12.745,16.287,-0.8006,-34.52,25.626,-22.248,18.017,-16.782,-22.392,6.3724,6.0799,29.156
"16",107.64,65.341,65.111,-22.07,-41.898,13.252,2.3442,-16.867,-34.039,15.233,-1.4335,13.278,-6.6494,-11.541,-9.7618,-12.373,25.571,0.39278,-30.404,-11.132,25.365,4.038,-10.233,14.998,8.3574,-9.3866,4.3119,4.3219,-2.0204,16.014
"23",9.2365,37.431,1.7668,-133.73,-69.622,42.123,-77.872,-44.254,-0.49864,44.791,-25.123,9.1953,-50.381,-0.25239,-13.588,0.92001,-0.21391,-13.256,-0.34963,4.1845,-6.0448,-13.908,-18.513,6.0254,-12.297,-22.283,-16.057,-8.448,10.015,4.2087
"25",-171.78,-37.656,43.254,46.16,-96.302,43.163,-34.101,-20.503,-25.62,43.003,-21.325,9.8492,-30.281,-29.965,5.6229,30.951,7.8637,-5.3179,-1.2491,6.9609,14.681,-12.709,32.762,-23.114,-12.755,-37.921,-14.514,3.0834,-9.5859,-6.2562
"31",100.15,78.163,60.288,-42.554,-1.6444,23.058,32.141,-20.276,-20.813,-19.785,18.001,19.386,-10.613,2.3446,-0.81946,8.7868,-17.279,12.621,11.916,21.673,15.484,-5.0433,19.802,19.335,-2.0352,-12.133,-10.328,-9.9179,-19.414,12.887
"34",92.332,76.518,87.574,-46.419,0.65811,33.266,28.318,-5.4473,-11.276,-25.905,3.334,25.706,-14.046,-4.7794,-1.9265,11.438,-11.773,14.936,7.9258,11.591,12.531,0.72157,12.98,5.5887,9.3012,0.24161,-16.961,-16.761,-2.2663,-0.91564
"44",94.143,59.37,50.297,-43.375,-28.185,7.0372,14.26,-24.312,-34.468,-14.697,6.3605,31.39,-1.1269,-35.232,1.3297,16.305,-17.289,7.0876,11.467,26.429,11.566,-7.4238,32.073,10.447,-12.814,-26.406,-16.952,-1.7761,-0.97788,8.5767
"45",77.895,83.906,60.316,-49.689,-6.9463,28.653,43.113,2.1844,-36.054,-20.514,19.374,20.036,-2.7297,-8.9907,-24.458,15.501,-33.835,12.296,24.768,31.669,0.0070014,-27.673,16.843,-22.091,4.8986,-11.848,-8.0126,-7.7849,5.9864,16.229
"46",80.684,75.806,70.551,-41.055,-10.472,19.813,33.999,-21.064,-28.308,-18.386,2.1279,17.481,-3.7112,-23.592,-18.105,10.379,-34.383,-1.7088,22.728,0.64297,13.956,-10.848,12.452,-1.0712,0.76561,-19.12,-4.3128,-2.5581,12.372,-6.7192
"61",97.809,83.345,88.506,-33.261,-24.29,12.58,28.286,-23.59,-35.629,-8.8102,9.9143,33.174,8.0162,-2.1028,2.3094,10.315,-17.432,6.703,1.8494,28.479,10.137,-9.6633,28.362,7.6589,3.9832,-12.401,-11.056,-8.6442,-2.1968,2.9747
"63",107.94,85.362,90.373,-38.417,-18.531,33.677,32.497,3.2628,-30.413,-13.436,6.4558,30.501,9.127,-6.2735,4.5784,5.3866,-26.342,12.608,9.3005,32.956,14.314,3.4863,37.108,13.826,-9.0305,-15.119,-8.2863,19.017,-5.6515,-0.81696
"64",97.953,86.628,88.405,-54.465,-21.619,27.675,28.241,-6.2379,-19.565,-21.427,4.4548,26.245,-4.2432,-14.225,-5.6921,6.8699,-13.244,14.04,-13.213,-11.139,12.593,10.768,0.36609,5.3613,20.613,-2.0688,-7.4099,8.8192,-11.797,3.4037
"75",90.162,97.589,40.664,-73.757,-23.63,37.55,47.215,18.073,-62.944,1.3042,42.508,52.012,-0.055092,-23.966,-4.4954,19.148,-30.112,17.536,7.4987,49.489,-18.761,-16.519,23.108,-21.241,0.61346,-2.3887,-9.8912,-14.474,24.788,-8.5318
