"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",-66.249,67.079,55.951,3.5552,-32.41,31.857,49.129,4.6728,13.177,27.236,24.607,21.535,-15.774,26.578,-24.258,6.6972,0.19585,16.745,18.61,-5.3437,28.89,-17.532,5.222,-3.3104,-16.341,-28.682,-15.171,5.4598,-0.9947,-2.051
"2",-159.65,-96.085,21.722,-2.3715,18.256,32.998,29.479,-28.556,24.853,15.067,-33.213,36.246,28.614,12.32,-11.519,16.361,55.079,4.5054,19.201,-24.617,3.1111,-24.849,-0.2142,-15.801,34.485,-8.6117,20.188,4.4328,5.8374,2.4571
"3",94.5,-16.12,31.761,54.515,-36.811,53.877,-11.143,-20.895,-22.242,22.785,4.5941,12.193,-13.437,51.42,18.667,6.6714,6.8168,0.78252,-35.632,4.7807,-2.9609,27.795,13.441,-20.928,-10.457,-24.292,8.6761,21.052,3.7886,-45.804
"4",-114.65,47.747,63.651,-13.891,-20.19,-40.14,-13.106,-45.815,-7.7126,30.889,-8.3922,20.786,-23.644,23.083,0.84102,-16.259,-2.1212,-4.3104,3.1766,-13.809,17.846,-9.6443,-0.12768,20.344,-12.97,-19.619,-7.2629,-16.028,-15.311,5.3717
"7",-146.47,66.145,81.203,4.282,-21.773,-20.659,27.241,-58.859,-6.4181,37.048,1.0284,24.004,7.2097,32.861,-2.668,-11.519,-2.4607,8.412,11.001,-2.9649,19.783,-15.654,-17.231,36.118,-23.485,-34.223,-27.364,-8.4732,16.975,2.9784
"8",-107.07,43.588,86.55,-12.832,-8.2238,-1.5977,-10.025,-39.899,-5.0705,28.987,-10.398,-20.407,-17.442,12.216,4.386,3.0104,-8.209,-8.2154,-0.74767,20.542,-15.266,-18.183,0.39618,23.714,-35.644,9.2457,-21.889,-15.624,23.564,-8.4181
"9",-118.01,58.706,79.786,-5.1387,-50.665,29.748,-13.656,-71.565,-23.018,12.411,8.1926,-17.581,-49.284,-3.525,6.6728,18.29,-4.7119,-6.1218,28.892,16.429,31.899,16.369,8.9306,15.999,-3.4818,-24.43,34.993,-2.9668,-6.2488,8.7582
"10",-81.749,59.371,68.924,-31.924,2.9532,-32.833,-11.26,-34.288,0.99567,2.0285,-12.269,-24.425,-5.9505,2.4201,-7.8935,3.1603,2.2754,-23.65,-11.333,2.654,19.18,-9.8856,0.80632,8.2949,-15.658,7.9387,-7.0125,2.8257,-8.8759,1.8119
"11",-100.35,66.463,65.612,-13.161,-14.544,-5.1927,25.94,-18.241,14.275,29.984,7.3814,13.411,-15.078,28.361,-21.637,-13.709,-4.1633,10.943,-1.5703,-8.6374,19.782,-15.659,-10.245,-0.26502,-27.528,-21.541,-0.55258,-8.7326,-8.5272,10.743
"12",-115.75,41.591,78.644,4.7764,-39.214,-12.335,-22.666,-33.373,-2.9997,7.7562,27.307,1.6949,-39.317,-25.054,-31.609,18.691,9.3024,-41.266,34.361,14.826,18.528,9.1257,-4.0563,29.288,-23.123,-4.069,45.129,-17.743,27.118,-3.7694
"13",-70.049,49.297,49.227,-25.81,-5.3301,-13.284,7.1692,-10.813,-1.5221,3.3958,4.619,-0.50668,-11.347,11.681,-16.517,4.5162,2.3266,1.8659,1.7534,-11.09,12.292,-13.365,3.6631,4.3894,-13.191,-1.5264,-8.5094,-0.13925,-3.1803,-1.4015
"16",-138.25,58.75,76.423,8.8442,-15.108,1.0339,52.415,-29.461,-18.765,44.32,14.161,11.692,-9.3461,22.39,-18.165,0.10271,7.1478,3.7996,15.836,-1.0099,14.493,-30.779,6.5909,27.322,-13.943,-23.527,-4.4992,6.1871,8.7208,-7.7843
"17",-129.61,81.051,88.915,-11.659,-18.133,-7.3215,26.209,-52.269,15.886,45.731,-11.912,18.379,4.3961,25.083,-9.7483,-34.768,-6.6194,7.4173,24.178,-11.902,24.355,-8.0156,-0.74896,21.441,-27.333,-19.452,-28.223,-2.2397,6.2453,-0.44508
"19",-72.316,67.696,77.014,-39.428,-21.315,-7.9393,-3.2072,-27.888,2.6142,34.388,-9.7627,19.45,-23.851,30.2,-5.2547,-0.85837,-11.776,-7.3433,2.1667,-1.4321,23.103,-17.904,8.487,-14.645,-20.146,-12.787,7.5084,1.2876,-22.905,2.772
"20",-168.97,-125.64,-28.113,2.5544,-11.707,-50.12,31.717,-30.123,-8.6909,36.312,-17.729,28.738,14.077,-2.1946,3.5789,39.001,45.733,-20.772,1.1208,10.275,13.75,-28.56,-3.4501,-22.267,-5.1213,-1.4877,30.788,-10.714,13.966,2.384
"22",-90.374,59.911,84.123,-14.894,-7.1199,-18.723,28.31,2.1505,-3.007,13.364,5.5971,24.278,-16.151,18.97,-45.735,-20.777,3.9443,-5.2029,-5.0713,-19.93,49.921,-12.925,-5.4667,10.308,-24.412,-2.8439,-0.32029,3.9865,-3.2785,4.8511
"23",-75.661,59.954,39.034,-28.935,-7.3407,-28.487,-1.8794,-30.491,12.531,24.996,-20.822,6.704,-16.064,16.609,4.4084,-7.1571,-6.5978,-1.3566,-12.358,-17.314,24.18,-13.799,2.4723,-4.6051,-18.228,-1.039,-17.652,-12.562,-21.547,17.407
"24",-144.22,7.4496,61.284,54.912,-49.853,-14.993,0.55724,-42.705,9.2918,31.045,40.399,-18.251,-69.225,-32.775,-51.508,32.269,4.7379,-38.059,18.157,54.937,31.359,-19.515,-6.1934,31.608,-3.8987,-18.891,8.3724,-4.6215,20.853,-17.231
"25",-7.005,69.223,35.58,-18.796,-2.9605,47.81,55.216,51.703,-4.357,21.231,22.303,7.2374,-0.33549,25.879,23.119,11.464,-8.8636,9.7177,-10.909,3.6906,23.78,-2.8961,-9.2673,-33.11,-29.286,-19.277,14.429,-6.1248,1.5644,2.678
"26",-152.54,-123.24,17.286,-33.867,27.356,4.5076,-6.9183,-24.666,18.931,-8.5351,-32.961,-5.9942,44.137,11.816,-0.82283,30.966,32.796,-21.343,8.035,-9.1936,-12.045,-13.054,11.795,2.6039,15.539,-9.7886,-3.8408,-9.9008,10.063,0.38593
"27",-52.999,44.659,46.773,-13.781,8.53,-10.113,2.3088,-19.954,-1.9167,22.301,3.3752,-24.136,-24.985,11.967,-11.466,7.3357,6.3287,-1.5248,-25.816,19.783,29.012,-12.986,2.2927,-16.901,-21.636,-5.9182,-10.698,4.5193,8.1354,13.746
