"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",0.22297,0.25352,0.47029,0.84076,1.4401,1.9734,2.5856,3.7048,4.7776,6.4479,9.2829,12.646,16.035,16.842,11.568,1.8692,-5.0487,-7.561,-7.5363,-6.2378,-4.6844,-4.7663,-7.3709,-7.457,-3.8426,-4.4669,-9.6404,-10.248,-10.553,-13.361,-14.174,-11.745,-7.4196,-2.6157,-2.0876,-5.4556,-7.3001,-10.142,-13.426,-16.297,-18.275,-21.766,-25.772,-28.511,-18.428,2.0571,11.819,16.546,15.016,4.4423,-3.6176,-0.88743,3.8034,6.2293,16.575,20.304,5.2351,-4.2921,-7.3866,-9.6278,-2.0097,8.0039,13.4,11.306,8.0354,7.4496,5.5029,4.2354,5.7983,8.7276,-1.454,-3.3712,3.6732,11.716,13.961,10.74,16.883,14.117,-1.171,-3.6611,-3.4285,-4.5694,-7.0711,-8.8682,-6.784,-3.667,-1.535,-0.50274,-0.54281,-0.9199,-2.4199,-5.0835,-5.9192,-6.1681,-7.5507,-9.6914,-10.389,-9.0115,-18.472,-22.56,-2.0511,-2.0514,-1.9533,-1.5449,-0.39478,-1.397,-2.4163,-1.0422,-2.5461,-3.8141,-2.3392,-1.486,-11.221,-20.178,-20.828,-17.948,-14.159,-14.165,-17.799,-23.224,-24.862,-23.952,-23.835,-21.181,-14.189,-9.5765,-12.363,-15.344,-14.959,-14.473,-12.101,-7.7388,-3.5595,-2.8549,-3.6119,-3.1503,-3.479,-2.8922,-2.296,-2.148,-2.6938,-3.4594,-1.882,16.049,30.371,19.618,-3.9913,-16.53,-5.0933,14.405,24.127,24.442,17.337,2.8984,-12.701,-10.541,10.424,20.159,23.085,26.619,22.854,7.7844,-1.4405,12.578,25.972,25.962,18.399,8.3817,-7.1468,3.4758,23.141,26.179,13.215,4.0616,1.276,3.9918,10.715,8.9713,3.519,0.13267,-2.3659,-2.9199,-2.8534,-3.1545,-3.3063,-4.0417,-5.059,-5.6637,-7.4197,-8.3453,-7.6922,-4.3203,-0.64876,1.4887,2.7306,1.1923,-4.3791,-7.3826,11.241,18.607
"2",3.4897,3.5202,3.737,4.1075,4.796,5.5275,5.447,6.2887,7.7893,8.0331,9.051,9.9107,9.995,10.515,5.0855,-2.0093,-6.4835,-10.441,-13.407,-18.026,-20.547,-20.344,-22.256,-21.416,-16.93,-16.777,-26.106,-31.698,35.876,64.524,68.786,67.33,37.489,23.88,5.6713,-10.378,-12.979,-8.9909,-11.102,-11.881,-13.268,-19.66,-26.555,-28.411,-28.285,-20.87,-6.9231,4.7101,9.0444,1.3864,-13.422,-20.533,-14.739,-11.508,-8.5355,5.7894,6.0188,-20.064,-31.15,-23.668,-18.067,-13.32,-4.2928,5.1631,8.6074,10.961,15.805,14.328,4.7099,2.5553,4.7529,7.4485,8.1621,9.043,15.162,18.499,9.5688,4.6852,10.753,13.638,10.204,7.2933,6.5228,4.8443,3.5283,1.9926,-0.42726,-2.6622,-1.5391,0.19902,-1.099,-2.6803,-5.1757,-8.0558,-9.7098,-10.57,-9.4791,-8.1922,31.177,43.78,-2.3224,-2.3227,-2.2245,-1.8162,-0.66984,1.3042,-1.8262,-4.3992,-2.979,-5.0867,-6.6934,-8.5076,-10.944,-11.751,-18.781,-23.604,-22.169,-19.352,-14.496,-16.033,-17.087,-12.968,-12.217,-10.252,-2.8775,1.6713,-7.3722,-14.281,25.461,22.496,35.999,37.449,10.688,13.099,12.908,9.6676,1.8103,-7.2684,-7.2528,-6.9481,-7.1265,-6.0416,-3.0632,3.8117,17.971,23.13,9.0231,-2.42,0.66749,12.578,24.819,31.088,30.374,18.934,1.6068,-0.22106,10.95,20.362,16.222,11.445,15.678,16.222,11.339,2.5934,-2.661,5.8024,14.18,9.8181,-6.9555,-9.4016,-4.9962,4.1698,10.443,10.786,5.6636,0.89039,-6.1901,-7.7213,-4.127,-4.1894,-7.3466,-10.1,-7.6233,-4.5879,-6.4875,-8.0876,-9.3476,-10.539,-9.0329,-6.8926,-6.0102,-5.013,-4.9061,-5.5639,-7.6775,-11.29,-14.62,-12.191,-32.922,-42.526
"3",-10.731,-10.7,-10.483,-10.113,-9.4244,-8.47,-7.6113,-6.3452,-4.5416,-2.4475,0.15468,3.2716,6.8538,10.832,15.096,1.7848,-5.9213,-5.4004,-2.1302,-1.3513,-8.1475,-26.372,-26.928,-14.861,-15.707,-11.95,-40.687,-38.286,-0.26111,-7.3247,-14.371,-14.053,-6.2104,2.336,6.6056,4.7594,4.8677,5.7051,5.4442,7.3291,7.5863,7.5738,4.5097,-1.4602,-7.6284,-12.025,-11.465,-7.2512,-3.1308,2.351,4.7089,2.8393,0.43084,-2.3682,-1.3748,2.5774,11.055,17.548,16.817,11.796,5.8409,2.3603,1.744,8.7948,13.289,8.4447,10.751,12.534,-5.0321,-3.2247,8.7604,16.564,16.133,12.558,10.069,9.9792,9.6101,8.2632,6.3701,2.9943,0.048596,0.051017,1.5819,2.4769,4.7905,6.4744,5.4281,3.8642,5.5087,9.0445,10.081,9.0776,7.5065,7.0421,7.5938,6.3862,5.9209,-0.76683,-21.248,-29.952,14.224,14.224,14.322,14.73,15.876,17.888,19.526,20.893,22.337,23.744,25.241,26.123,25.856,24.224,21.299,7.2125,-0.14287,3.5276,10.094,27.634,21.303,-18.17,-10.787,6.1806,4.9915,13.014,-18.328,-28.531,-6.2599,-13.11,-17.597,-15.633,-7.3495,-2.3066,0.24402,2.7917,4.0327,5.4114,5.4534,4.6384,4.6387,3.5076,1.7273,2.5524,5.7377,4.2586,-5.5715,-14.384,-17.518,-16.754,-16.268,-12.12,-1.8794,5.6486,2.3872,-8.4416,-15.381,-13.219,-8.6766,-4.4287,1.0222,4.2623,0.3904,-9.2099,-19.306,-20.769,-46.82,-38.783,25.338,30.157,27.777,15.833,-1.484,-8.4351,-6.7066,-2.9127,-2.5347,-3.7972,-4.3472,-5.7716,-3.9229,-1.5437,-3.0534,-4.9954,-2.6572,0.51537,-1.4605,-3.3753,-1.1533,1.2713,-0.78948,-0.84463,-3.5987,-3.2159,-0.23009,-2.0475,-1.1436,10.46,43.524,56.157
"4",4.264,4.2946,4.5114,4.8818,5.8291,11.222,15.377,16.291,16.027,13.131,6.765,0.53299,-1.5492,-6.4324,-9.3788,-7.1919,-5.0206,-4.877,-8.5044,-11.093,-9.7713,-9.4062,-11.208,-9.7074,-6.484,-8.9638,-11.41,-10.459,-14.289,-17.851,-18.068,-14.647,-6.3977,0.0048542,-1.9724,-5.6828,-5.7445,-4.6875,-5.1887,-6.2466,-9.8151,-11.497,-14.358,-21.546,-22.484,4.5546,14.88,8.3224,-6.6942,-11.721,-10.723,-6.5369,-1.2795,0.99814,3.614,-3.4001,-21.257,-27.901,-17.512,-11.837,-4.5246,-0.76064,4.4412,3.7951,-5.5881,-7.1163,0.22094,0.47858,-8.1994,-0.48183,1.3303,2.5414,24.364,29.717,25.388,20.913,18.903,11.887,-0.052217,-3.0144,2.5894,9.2401,11.325,7.4179,4.8773,5.2312,4.491,0.72737,-1.6363,-1.1506,-2.0703,-2.7724,-3.881,-5.7098,-6.6742,-5.9413,-2.7823,-1.3009,28.191,38.63,-1.1836,-1.1839,-1.0857,-0.67736,0.55439,1.0292,1.2402,2.4443,-1.953,-5.8181,-5.0016,-2.7476,-0.88198,-6.3507,-12.113,-14.246,-18.105,-20.944,-19.621,-16.651,-12.792,-11.693,-12.821,-9.2662,-1.7611,0.1794,-8.6164,-16.649,-18.135,-18.35,-14.694,-8.8664,-6.8258,-5.5444,-2.0416,1.688,1.099,-1.8372,-0.89254,-1.0321,-0.57917,0.63658,1.4087,7.7045,15.98,8.4389,-13.219,-9.2502,19.094,28.752,25.135,17.047,12.072,2.8704,-3.0016,17.031,32.799,26.035,15.93,17.907,15.474,9.8369,27.434,47.243,41.859,29.315,33.89,24.945,6.3471,10.36,23.381,28.914,1.1132,-15.642,-6.3252,0.97347,-2.9695,-6.3774,-8.6647,-7.2461,-5.0526,-6.1374,-8.0104,-7.5766,-4.0056,-3.0758,-5.1144,-5.2827,-1.9109,0.82095,3.1997,4.6192,1.9135,-2.3141,-7.2557,-14.624,-20.851,-17.577,-21.875,-25.503
"7",12.756,12.787,13.003,13.374,13.988,17.265,20.217,19.507,18.15,17.945,14.784,9.2743,4.2967,2.4766,1.8758,-2.0894,-6.1574,-7.7729,-8.6105,-9.2312,-14.498,-19.512,-21.504,-17.752,-10.395,-11.139,-13.661,-13.026,-16.397,-20.446,-22.091,-19.705,-11.156,-4.6452,-4.702,-6.7018,-10.413,-11.063,-10.5,-12.083,-14.815,-17.327,-21.909,-30.752,-23.39,-1.2068,20.326,22.132,3.4099,-10.637,-10.708,-2.6151,3.4361,5.6553,8.4404,17.579,13.541,-15.389,-32.295,-34.13,-25.156,2.3923,9.162,-0.82702,-9.5159,-9.5374,-1.1272,0.31856,-7.3475,4.8164,9.6605,-3.5384,9.4801,22.734,18.003,27.747,42.274,29.323,-0.87298,0.77808,9.8056,15.175,13.712,7.4584,2.5791,-1.1673,-3.645,-4.8466,-5.0353,-5.7418,-7.5109,-9.3449,-8.8423,-8.4446,-9.8683,-10.873,-10.962,-12.499,22.108,49.05,0.42734,0.42707,0.52523,0.93358,2.0217,-0.44219,-2.4644,-2.0971,-2.0789,-1.4663,-8.1832,-13.496,-12.591,-12.184,-12.615,-17.278,-21.944,-23.275,-25.59,-27.187,-20.634,-12.271,-10.854,-10.989,-5.9335,-3.3938,-9.6525,-15.06,-15.621,-16.619,-15.083,-10.51,-8.4431,-7.3589,-6.0001,-4.9076,-2.8293,-2.6106,-2.7277,-2.986,-4.141,-2.1018,0.98027,4.709,29.936,31.114,-16.772,-19.269,24.471,32.286,24.103,21.284,16.218,6.9638,-5.5649,-4.2299,13.585,29.716,25.65,17.463,21.676,22.616,29.406,40.348,39.075,36.177,40.856,31.179,10.947,9.4887,20.812,39.528,33.525,-0.56185,-13.479,-9.9662,-2.9265,-1.5981,-6.0635,-6.8552,-6.7701,-8.0352,-6.2729,-3.9147,-5.3471,-6.0124,-6.8897,-8.3509,-7.9213,-5.4695,-2.2875,2.5485,4.0651,2.3117,1.2923,-0.4844,-1.9616,-23.793,-23.212,-9.7697
"8",7.1557,7.1863,7.4031,7.7735,8.8883,13.515,17.17,18.436,19.839,25.144,24.49,15.205,7.4473,1.6723,-5.3334,-8.8209,-8.3447,-7.5765,-6.7745,-9.0934,-11.381,-10.086,-12.362,-13.337,-8.5961,-6.5556,-12.12,-18.479,-17.628,-15.891,-16.508,-13.014,-7.1261,-1.2524,-0.24445,-3.4373,-5.2529,-7.9107,-9.8958,-11.763,-14.482,-17.641,-19.276,-19.285,15.618,23.731,3.5744,1.121,-0.88268,3.0202,5.7592,6.4769,8.1161,8.5643,11.563,5.5991,14.657,19.051,-1.0587,-12.49,-13.49,-13.387,-13.169,-9.5013,-5.9127,-1.4195,5.5705,5.1407,4.9342,-3.2011,-19.49,-10.66,-2.0609,10.598,12.517,21.158,38.358,30.375,11.874,9.2836,9.1248,10.187,8.138,1.7502,-3.1861,-6.9811,-9.1991,-7.3358,-3.8297,-2.795,-2.2886,-2.7694,-3.4011,-4.2892,-9.6852,-13.729,-11.489,-2.8055,13.668,15.742,-1.0805,-1.0808,-0.98265,-0.5743,0.7341,2.9755,4.6959,6.0631,7.1777,-2.3604,-11.141,-12.741,-12.071,-10.646,-13.039,-16.721,-18.702,-22.722,-27.577,-29.03,-18.125,-2.1712,4.4635,6.9196,11.647,10.767,2.5619,-2.8249,-7.9447,-12.618,-10.078,-4.6817,0.86874,2.398,2.0167,2.2646,1.5684,2.3356,2.39,1.7858,0.63465,6.3627,12.918,17.524,25.826,2.3443,-34.267,5.8412,16.687,11.576,10.781,10.734,7.1811,-1.9727,-10.838,36.387,36.657,12.189,21.486,16.989,20.633,21.74,19.014,15.071,16.289,24.902,27.903,18.287,5.9731,19.377,21.75,13.147,13.355,1.2978,-10.955,-13.142,-7.647,-6.2995,-9.0686,-9.2517,-9.2509,-11.078,-7.0337,-1.3395,-1.5994,-1.0207,-0.87747,-0.44525,-0.60296,-1.8726,-2.7443,-2.7723,-1.7182,-0.97662,-1.9266,-6.6778,-13.873,-20.092,-27.516,-33.238
"9",11.669,11.7,11.917,12.287,13.032,17.443,21.108,19.1,15.63,14.768,12.263,11,9.4569,7.0968,6.5277,6.7954,5.9123,3.6631,-10.476,-21.219,-19.825,-13.928,-12.494,-13.353,-9.6792,-10.307,-11.276,-8.7136,-11.837,-15.281,-16.005,-10.257,-1.7101,1.1324,0.43607,-2.232,-3.5989,-1.9772,-2.3197,-4.2176,-6.9494,-11.322,-17.304,-21.246,-21.6,-17.671,2.8029,15.903,9.2592,0.64882,0.55162,3.8449,7.1015,8.3424,10.566,0.21808,-2.5584,-3.2075,-2.7183,-6.3765,-7.6368,-5.3865,-13.957,-16.626,-7.5781,-0.2038,7.3845,5.742,-12.964,-19.542,-7.534,1.3981,4.1472,4.9329,6.6733,7.8288,-7.2607,2.7295,29.888,19.857,7.0707,11.904,11.065,3.5242,-0.47558,-2.8845,-3.9218,-4.3328,-1.9991,1.139,0.63383,-1.0739,-3.6058,-0.84804,4.4121,3.0921,2.6281,-7.8316,-12.903,-3.0977,0.24044,0.24018,0.33833,0.74668,1.8868,-0.07612,-1.7765,-2.3153,-3.4126,-3.0289,-4.4224,-5.7017,-10.857,-15.975,-17.131,-19.17,-21.525,-23.376,-22.832,-17.877,-20.111,-30.025,-29.611,-22.458,-12.707,-7.9198,-14.182,-20.819,-20.812,-20.614,-17.509,-14.018,-10.681,-5.8988,-1.3921,3.0112,1.5468,-0.94678,-0.012691,-0.60657,-1.7616,4.3282,10.27,17.014,25.578,24.89,9.3931,-0.81537,14.254,23.219,18.433,16.73,12.448,3.6786,-7.7315,43.714,56.797,45.135,37.532,21.251,24.251,22.102,59.38,58.722,18.632,23.625,22.032,7.7104,34.222,36.191,7.1436,6.0309,9.7491,12.738,17.198,-11.381,-31.188,-28.937,-21.438,-19.454,-17.675,-19.583,-12.981,-4.2756,-5.2296,-6.0958,-7.6851,-9.7182,-9.013,-8.3187,-9.1119,-9.0163,-10.185,-9.9468,-9.128,-10.489,-9.656,-22.304,-15.303,-10.484
"10",5.9221,5.9527,6.1694,6.5399,7.1571,8.1845,9.2508,10.209,9.5454,5.4298,-0.51764,-3.2511,-3.5775,-2.3583,-3.4705,-4.9776,-5.8959,-7.4937,-8.0489,-7.9891,-6.8564,-6.5893,-8.3089,-6.6799,-1.4318,-0.84615,-7.3287,-11.815,-11.789,-12.484,-14.488,-13.292,-10.813,-11.409,-11.885,-12.714,-14.692,-13.126,-12.379,-11.64,-9.6411,-10.599,-12.427,-2.8032,15.162,22.994,19.947,8.3881,-3.3869,-4.8373,-1.7146,1.2894,3.9333,4.8236,11.055,4.1889,-13.04,-7.7441,12.341,17.16,4.2413,-7.8506,-7.4264,-6.8286,-8.0638,-4.2122,2.2699,1.7833,-2.0902,-5.8748,-13.845,-1.435,10.926,14.971,15.532,11.738,14.001,11.091,-1.1803,-3.3613,4.6719,10.117,9.8772,8.0143,6.6522,5.3772,4.2641,3.7869,1.2469,-0.4654,-1.4286,-2.08,-3.1459,-7.9756,-11.96,-12.3,-9.9552,-5.9543,9.6406,13.628,-1.2854,-1.2857,-1.1875,-0.77916,0.3452,-0.86971,-2.0195,-0.70743,-8.0018,-13.248,-10.586,-7.94,-6.4055,-6.3979,-10.676,-14.752,-14.92,-14.902,-15.634,-16.815,-14.707,-12.352,-12.589,-10.463,-3.7294,0.634,-2.3648,-5.222,-8.2255,-12.132,-11.224,-8.3048,-6.555,-6.5316,-8.3379,-8.1769,-6.3462,-3.0313,-0.0024429,1.2937,2.9483,4.6671,7.0737,20.47,16.83,-13.288,-14.264,12.209,27.599,24.021,12.267,10.233,6.0276,-3.4464,-4.6285,9.1051,19.886,23.432,18.759,12.987,22.753,33.296,30.682,20.374,14.332,24.222,28.817,20.011,7.5559,14.738,22.03,17.352,2.2887,-0.091357,1.3225,-1.5415,-1.2372,-3.5608,-7.7726,-6.3612,-3.9861,-5.2461,-7.4322,-3.3159,1.9371,0.19099,1.0921,2.1297,1.2201,0.82239,2.9981,4.2685,2.0128,-0.26952,-3.845,-9.8918,-16.906,-18.994,-30.263,-38.059
"11",0.48664,0.51718,0.73395,1.1044,1.7992,3.0597,4.1777,5.5214,8.1453,10.836,13.48,15.041,15.164,8.4103,0.14711,-5.9514,-7.8226,-7.2486,-4.7249,-2.7019,-4.0989,-5.754,-8.0208,-7.7899,-4.2771,-4.7174,-7.4045,-6.9816,-9.6475,-13.847,-15.939,-12.311,-4.7825,0.050475,-2.1189,-6.0534,-8.8183,-12.418,-15.361,-18.117,-19.088,-17.762,-20.604,-16.334,-3.9879,10.407,18.229,19.409,2.1121,-9.436,-7.8569,-2.2511,1.7142,3.2538,14.246,11.083,-15.281,-20.562,-14.746,-10.76,-4.7786,-0.87038,13.792,6.3647,-13.685,-2.1765,8.5393,8.6707,-0.81098,12.378,10.019,-4.5103,5.7239,8.1222,7.4646,10.843,18.146,24.753,18.626,0.029703,-3.1555,4.65,8.1682,5.7475,3.8257,1.8562,-1.9196,-5.6328,-6.1734,-4.8732,-4.5596,-5.8916,-8.4399,-10.914,-12.362,-9.069,-4.0196,-7.8948,-4.6391,8.73,-2.5934,-2.5937,-2.4955,-2.0872,-0.94623,-2.1143,-3.268,-1.8948,-3.4967,-4.8481,-5.9094,-7.4159,-7.5266,-15.532,-20.896,-17.808,-15.341,-16.06,-23.678,-30.557,-23.162,-12.913,-12.563,-13.569,-9.5751,-6.1602,-10.018,-13.274,-13.05,-14.401,-13.633,-9.0334,-2.8204,3.2907,6.2073,1.9069,-5.0881,-5.4051,-4.5998,-4.4782,-4.115,-1.3024,0.88548,19.286,30.029,11.833,-18.109,-9.5031,22.78,26.624,17.649,15.236,10.846,1.7077,-8.2927,1.306,18.329,18.645,15.699,18.848,17.908,11.656,12.085,38.917,45.106,27.178,23.54,9.4967,-12.151,-2.5851,27.214,35.366,9.268,3.0916,3.8836,-1.0463,-3.3798,0.8436,1.9043,-2.1759,-4.5903,-6.1636,-5.4418,-4.5734,-4.387,-3.4223,-3.3988,-2.9605,-3.9444,-5.802,-5.4259,-2.4853,-0.13023,1.1057,0.82865,-3.7572,-7.9999,-20.847,-12.229,-3.9629
"12",8.8737,8.9042,9.121,9.4915,10.18,10.919,12.628,14.964,13.425,10.286,10.059,6.2549,1.8848,0.19534,0.86621,2.2183,3.3224,-1.4928,-8.3518,-12.026,-11.172,-11.356,-14.248,-13.696,-10.277,-11.845,-20.065,-17.88,-11.862,-15.601,-17.003,-14.944,-9.2222,-5.8525,-5.9081,-7.7504,-11.287,-12.139,-11.063,-11.842,-14.574,-19.117,-23.172,-24.249,-16.917,-2.8608,10.71,12.365,1.3398,-6.628,-3.8862,0.18411,2.82,12.923,20.863,-3.32,2.3005,19.595,5.9963,2.4315,4.2968,7.1921,6.9252,-1.9355,-12.08,-2.4522,6.9736,6.5891,-2.4611,-3.7052,0.35215,3.7736,2.9895,0.89281,1.2105,-43.826,-22.175,26.468,21.315,13.333,11.712,10.799,11,8.8709,4.5819,2.1756,1.1372,0.43844,-0.86466,0.23757,2.3977,1.1707,-1.2986,-5.6368,-8.8049,-7.6537,-1.2682,6.5166,17.563,20.797,0.059247,0.058979,0.15714,0.56549,1.7118,3.6424,-0.81719,-4.2119,-3.7095,-3.3757,-2.1416,-8.3175,-13.204,-12.584,-13.527,-15.681,-19.111,-25.305,-26.951,-18.209,-7.1125,-4.0699,-7.7713,-8.3696,-4.9345,-4.5689,-9.7365,-16.771,-21.338,-21.604,-19.443,-15.206,-11.679,-8.6573,-7.287,-5.9854,-3.682,-3.6729,-3.3107,-2.8763,-4.0313,4.4939,12.936,18.689,31.708,30.391,1.0525,-17.108,6.5622,20.586,17.945,16.636,14.266,10.519,5.5598,49.231,51.665,19.637,24.853,29.218,29.69,25.518,54.883,54.528,20.912,25.486,24.395,12.826,-8.8034,-16.72,-18.519,-9.8321,3.2092,11.987,19.67,-23.383,-30.948,-16.804,-16.667,-11.276,-10.319,-9.5535,-11.836,-13.995,-15.661,-11.679,-7.1793,-9.4702,-10.464,-7.4393,-4.5125,-4.0449,-3.9862,-5.9617,-8.6508,-16.215,-24.5,-23.49,-14.928,-14.362
