"","tribe","species"
"1","Alcelaphini","buselaphus"
"2","Alcelaphini","buselaphus"
"4","Alcelaphini","buselaphus"
"5","Alcelaphini","buselaphus"
"6","Alcelaphini","buselaphus"
"7","Alcelaphini","buselaphus"
"8","Alcelaphini","buselaphus"
"10","Alcelaphini","buselaphus"
"12","Alcelaphini","buselaphus"
"14","Alcelaphini","buselaphus"
"15","Alcelaphini","buselaphus"
"16","Alcelaphini","buselaphus"
"17","Alcelaphini","buselaphus"
"19","Alcelaphini","buselaphus"
"20","Alcelaphini","buselaphus"
"21","Alcelaphini","buselaphus"
"23","Alcelaphini","buselaphus"
"25","Alcelaphini","buselaphus"
"27","Alcelaphini","buselaphus"
"28","Alcelaphini","buselaphus"
"29","Alcelaphini","gnou"
"31","Alcelaphini","gnou"
"32","Alcelaphini","gnou"
"33","Alcelaphini","gnou"
"34","Alcelaphini","gnou"
"35","Alcelaphini","gnou"
"36","Alcelaphini","gnou"
"37","Alcelaphini","gnou"
"38","Alcelaphini","gnou"
"39","Alcelaphini","gnou"
"42","Alcelaphini","gnou"
"43","Alcelaphini","gnou"
"44","Alcelaphini","gnou"
"46","Alcelaphini","gnou"
"47","Alcelaphini","gnou"
"49","Alcelaphini","gnou"
"53","Alcelaphini","gnou"
"54","Alcelaphini","gnou"
"55","Alcelaphini","gnou"
"56","Alcelaphini","gnou"
"57","Alcelaphini","taurinus"
"58","Alcelaphini","taurinus"
"59","Alcelaphini","taurinus"
"60","Alcelaphini","taurinus"
"61","Alcelaphini","taurinus"
"62","Alcelaphini","taurinus"
"63","Alcelaphini","taurinus"
"64","Alcelaphini","taurinus"
"65","Alcelaphini","taurinus"
"66","Alcelaphini","taurinus"
"67","Alcelaphini","taurinus"
"69","Alcelaphini","taurinus"
"71","Alcelaphini","taurinus"
"72","Alcelaphini","taurinus"
"73","Alcelaphini","taurinus"
"74","Alcelaphini","taurinus"
"75","Alcelaphini","taurinus"
"77","Alcelaphini","taurinus"
"78","Alcelaphini","taurinus"
"79","Alcelaphini","taurinus"
"80","Alcelaphini","taurinus"
"82","Alcelaphini","taurinus"
"83","Alcelaphini","taurinus"
"84","Alcelaphini","taurinus"
"85","Alcelaphini","taurinus"
"86","Alcelaphini","dorcas"
"87","Alcelaphini","dorcas"
"88","Alcelaphini","dorcas"
"90","Alcelaphini","dorcas"
"92","Alcelaphini","dorcas"
"93","Alcelaphini","dorcas"
"94","Alcelaphini","dorcas"
"95","Alcelaphini","dorcas"
"96","Alcelaphini","dorcas"
"97","Alcelaphini","dorcas"
"98","Alcelaphini","dorcas"
"99","Alcelaphini","dorcas"
"100","Alcelaphini","dorcas"
"101","Alcelaphini","dorcas"
"102","Alcelaphini","dorcas"
"103","Alcelaphini","dorcas"
"104","Alcelaphini","dorcas"
"105","Alcelaphini","dorcas"
"106","Alcelaphini","dorcas"
"107","Alcelaphini","dorcas"
"108","Alcelaphini","dorcas"
"109","Alcelaphini","dorcas"
"110","Alcelaphini","dorcas"
"111","Alcelaphini","dorcas"
"112","Alcelaphini","dorcas"
"114","Alcelaphini","dorcas"
"116","Antilopini","marsupialis"
"117","Antilopini","marsupialis"
"118","Antilopini","marsupialis"
"119","Antilopini","marsupialis"
"120","Antilopini","marsupialis"
"121","Antilopini","marsupialis"
"122","Antilopini","marsupialis"
"123","Antilopini","marsupialis"
"124","Antilopini","marsupialis"
"125","Antilopini","marsupialis"
"127","Antilopini","marsupialis"
"128","Antilopini","marsupialis"
"129","Antilopini","marsupialis"
"130","Antilopini","marsupialis"
"131","Antilopini","marsupialis"
"135","Antilopini","marsupialis"
"136","Antilopini","marsupialis"
"137","Antilopini","marsupialis"
"138","Antilopini","marsupialis"
"139","Antilopini","marsupialis"
"140","Antilopini","marsupialis"
"141","Antilopini","marsupialis"
"143","Antilopini","marsupialis"
"144","Antilopini","marsupialis"
"146","Bovini","caffer"
"147","Bovini","caffer"
"149","Bovini","caffer"
"150","Bovini","caffer"
"151","Bovini","caffer"
"152","Bovini","caffer"
"153","Bovini","caffer"
"154","Bovini","caffer"
"155","Bovini","caffer"
"157","Bovini","caffer"
"159","Bovini","caffer"
"160","Bovini","caffer"
"161","Bovini","caffer"
"162","Bovini","caffer"
"164","Bovini","caffer"
"165","Bovini","caffer"
"166","Bovini","caffer"
"167","Bovini","caffer"
"168","Bovini","caffer"
"169","Bovini","caffer"
"171","Hippotragini","equinus"
"173","Hippotragini","equinus"
"174","Hippotragini","equinus"
"175","Hippotragini","equinus"
"176","Hippotragini","equinus"
"178","Hippotragini","equinus"
"179","Hippotragini","equinus"
"181","Hippotragini","equinus"
"182","Hippotragini","equinus"
"184","Hippotragini","equinus"
"185","Hippotragini","equinus"
"186","Hippotragini","equinus"
"187","Hippotragini","equinus"
"188","Hippotragini","equinus"
"189","Hippotragini","equinus"
"191","Hippotragini","equinus"
"192","Hippotragini","equinus"
"193","Hippotragini","niger"
"194","Hippotragini","niger"
"195","Hippotragini","niger"
"196","Hippotragini","niger"
"197","Hippotragini","niger"
"199","Hippotragini","niger"
"200","Hippotragini","niger"
"201","Hippotragini","niger"
"202","Hippotragini","niger"
"204","Hippotragini","niger"
"205","Hippotragini","niger"
"206","Hippotragini","niger"
"207","Hippotragini","niger"
"208","Hippotragini","niger"
"209","Hippotragini","niger"
"212","Hippotragini","niger"
"213","Hippotragini","niger"
"215","Hippotragini","niger"
"218","Hippotragini","niger"
"219","Hippotragini","niger"
"220","Hippotragini","niger"
"222","Hippotragini","niger"
"223","Hippotragini","niger"
"224","Hippotragini","niger"
"226","Hippotragini","niger"
"227","Hippotragini","niger"
"228","Hippotragini","niger"
"229","Hippotragini","niger"
"230","Hippotragini","niger"
"231","Hippotragini","gazella"
"232","Hippotragini","gazella"
"233","Hippotragini","gazella"
"234","Hippotragini","gazella"
"235","Hippotragini","gazella"
"236","Hippotragini","gazella"
"237","Hippotragini","gazella"
"238","Hippotragini","gazella"
"240","Hippotragini","gazella"
"241","Hippotragini","gazella"
"242","Hippotragini","gazella"
"243","Hippotragini","gazella"
"244","Hippotragini","gazella"
"246","Hippotragini","gazella"
"249","Hippotragini","gazella"
"250","Hippotragini","gazella"
"251","Hippotragini","gazella"
"252","Hippotragini","gazella"
"253","Hippotragini","gazella"
"254","Hippotragini","gazella"
"255","Hippotragini","gazella"
"256","Hippotragini","gazella"
"257","Hippotragini","gazella"
"258","Hippotragini","gazella"
"259","Hippotragini","gazella"
"260","Hippotragini","gazella"
"261","Hippotragini","gazella"
"262","Hippotragini","gazella"
"263","Hippotragini","gazella"
"264","Hippotragini","gazella"
"265","Neotragini","oreotragus"
"266","Neotragini","oreotragus"
"268","Neotragini","oreotragus"
"269","Neotragini","oreotragus"
"270","Neotragini","oreotragus"
"271","Neotragini","oreotragus"
"272","Neotragini","oreotragus"
"273","Neotragini","oreotragus"
"274","Neotragini","oreotragus"
"276","Neotragini","oreotragus"
"277","Neotragini","oreotragus"
"279","Neotragini","oreotragus"
"281","Neotragini","oreotragus"
"282","Neotragini","oreotragus"
"283","Neotragini","oreotragus"
"284","Neotragini","oreotragus"
"285","Neotragini","oreotragus"
"286","Neotragini","oreotragus"
"287","Neotragini","oreotragus"
"288","Neotragini","oreotragus"
"289","Neotragini","oreotragus"
"290","Neotragini","oreotragus"
"291","Neotragini","oreotragus"
"292","Neotragini","oreotragus"
"293","Neotragini","oreotragus"
"294","Neotragini","oreotragus"
"296","Neotragini","oreotragus"
"297","Neotragini","oreotragus"
"298","Neotragini","oreotragus"
"299","Neotragini","oreotragus"
"300","Neotragini","ourebi"
"301","Neotragini","ourebi"
"303","Neotragini","ourebi"
"305","Neotragini","ourebi"
"306","Neotragini","ourebi"
"307","Neotragini","ourebi"
"308","Neotragini","ourebi"
"309","Neotragini","ourebi"
"311","Neotragini","ourebi"
"312","Neotragini","ourebi"
"313","Neotragini","ourebi"
"314","Neotragini","ourebi"
"317","Neotragini","ourebi"
"318","Neotragini","ourebi"
"320","Neotragini","ourebi"
"321","Neotragini","ourebi"
"322","Neotragini","ourebi"
"323","Neotragini","ourebi"
"324","Neotragini","ourebi"
