"family","tribe","genus","species","type","image","complete","corrupt","folds_species","folds_tribe"
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2871",1,0,3,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2875",-1,0,5,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2879",1,0,1,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2885",-1,-1,4,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2889",-1,-1,2,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2892",1,0,4,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2896",1,0,5,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2899",-1,-1,2,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2904",1,0,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2908",1,0,1,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2913",1,0,1,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2923",1,0,2,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2927",1,0,5,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN2931",-2,0,1,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4148",1,0,3,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4151",0,0,3,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4155",-1,-1,4,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4796",1,0,1,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4800",1,0,4,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4805",1,0,3,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4808",1,0,3,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4813",-2,0,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4817",-2,0,2,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4821",1,0,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4825",1,0,2,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4829",0,0,3,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4833",1,0,3,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4837",1,0,2,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4842",0,0,2,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4846",1,0,1,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM1","DSCN4851",1,0,1,4
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2612",1,0,3,5
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2616",1,0,4,2
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2624",1,0,2,4
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2628",-2,0,2,1
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2632",-2,0,1,1
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2636",1,0,2,2
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2640",1,0,1,5
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2644",1,0,5,1
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2648",-1,0,2,3
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2651",1,0,1,3
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2654",-1,0,4,5
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2658",-1,0,5,1
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2662",-1,0,4,4
"Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2666",-1,0,1,4
