"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0936","Bovidae","Neotragini","Raphicerus","campestris","LM3",-1,0,5,4,772.541603293827
"2","DSC_0943","Bovidae","Neotragini","Raphicerus","campestris","LM3",-1,0,2,3,818.190073156608
"3","DSC_0947","Bovidae","Neotragini","Raphicerus","campestris","LM3",-1,0,5,3,924.052209542395
"4","DSC_0951","Bovidae","Neotragini","Raphicerus","campestris","LM3",-1,0,1,3,1152.25278288503
"5","DSC_0955","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,2,5,2885.32572047148
"6","DSC_0961","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,1,4,3322.71834948605
"7","DSC_0966","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,3,2,3540.71309548574
"8","DSC_0974","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,3,1,2939.45532956245
"9","DSC_0979","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,5,1,3257.08193444168
"10","DSC_0986","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,4,3,2800.61786289726
"11","DSC_0991","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,5,1,3374.55412137674
"12","DSC_0996","Bovidae","Hippotragini","Oryx","gazella","LM3",1,0,4,3,2583.1372829432
"13","DSC_1001","Bovidae","Hippotragini","Hippotragus","equinus","LM3",1,0,4,4,3317.40729146165
"14","DSC_1006","Bovidae","Hippotragini","Hippotragus","equinus","LM3",1,0,5,5,2655.31249122696
"15","DSC_1011","Bovidae","Hippotragini","Hippotragus","equinus","LM3",1,0,2,2,2884.99026959564
"16","DSC_1016","Bovidae","Hippotragini","Hippotragus","equinus","LM3",1,0,4,1,2822.01973813404
"17","DSC_1021","Bovidae","Hippotragini","Hippotragus","equinus","LM3",1,0,5,2,3012.69313190532
"18","DSC_1026","Bovidae","Hippotragini","Hippotragus","equinus","LM3",1,0,1,5,2810.04052084952
"19","DSC_1031","Bovidae","Hippotragini","Hippotragus","niger","LM3",1,0,3,2,2379.43302200632
"20","DSC_1036","Bovidae","Hippotragini","Hippotragus","niger","LM3",1,0,2,3,2403.21977110392
"21","DSC_1041","Bovidae","Hippotragini","Hippotragus","niger","LM3",1,0,5,1,3204.91271653035
"22","DSC_1046","Bovidae","Hippotragini","Hippotragus","niger","LM3",-2,0,4,2,2248.54108438115
