"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0675","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,1,873.930367241724
"2","DSC_0686","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,5,1012.13055597263
"3","DSC_0690","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,2,1,400.531468814276
"4","DSC_0693","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,2,932.372011044985
"5","DSC_0697","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,1,1,4,921.920534355254
"6","DSC_0700","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,3,280.590253583892
"7","DSC_0703","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,1,3,890.242440814023
"8","DSC_0709","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,3,5,1039.64000794363
"9","DSC_0716","Bovidae","Neotragini","Raphicerus","campestris","UM1",-1,0,2,1,866.344995422319
"10","DSC_0722","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,5,5,2200.68007446052
"11","DSC_0729","Bovidae","Hippotragini","Oryx","gazella","UM1",-1,0,2,4,5456.10576397651
"12","DSC_0734","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,1,2382.62595109003
"13","DSC_0736","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,3,1,2728.14717879164
"14","DSC_0739","Bovidae","Hippotragini","Oryx","gazella","UM1",0,0,4,5,2360.54000317734
"15","DSC_0745","Bovidae","Hippotragini","Oryx","gazella","UM1",-1,0,5,5,2348.7027183959
"16","DSC_0749","Bovidae","Hippotragini","Oryx","gazella","UM1",-2,0,5,4,2398.41102299604
"17","DSC_0752","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,5,5,2315.96077615448
"18","DSC_0758","Bovidae","Hippotragini","Oryx","gazella","UM1",-1,0,4,3,2196.97635425065
"19","DSC_0763","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,2,5,2935.2815660715
"20","DSC_0766","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,4,2689.63174529368
"21","DSC_0772","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,4,2,3237.62104366113
"22","DSC_0778","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,4,1,2354.83155228633
"23","DSC_0783","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,2,2576.91231127975
"24","DSC_0789","Bovidae","Hippotragini","Oryx","gazella","UM1",-2,0,3,3,2096.75017510013
"25","DSC_0795","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,5,1,2320.04144898774
"26","DSC_0800","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,4,3,2302.52876149689
"27","DSC_0806","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,3,2746.14630317477
"28","DSC_0815","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,2,3,3169.8665054328
"29","DSC_0821","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,5,3328.34856871813
"30","DSC_0828","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,5,3,3117.68128583683
"31","DSC_0837","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,1,5,2487.76050064805
"32","DSC_0843","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,2,1,2841.80975089136
"33","DSC_0849","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,2,2424.61094976085
"34","DSC_0855","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,2,3123.39273368711
"35","DSC_0861","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,5,3,3574.04859841084
"36","DSC_0867","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,1,2879.08810505738
"37","DSC_0873","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,2,5,2287.73324684944
"38","DSC_0879","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,2,5,2574.09484256994
"39","DSC_0885","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,4,4,2533.9856642755
"40","DSC_0890","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,3,5,2653.87428768342
"41","DSC_0893","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,3,2,2384.67555275283
"42","DSC_0899","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,5,3,2525.22832409826
"43","DSC_0905","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,5,5,2061.22607582747
"44","DSC_0911","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,4,1,2549.12637136838
"45","DSC_0916","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,3,2,2614.84930288934
"46","DSC_0922","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,1,4,2790.24610003111
"47","DSCN2520","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,4,5,2081.90022476563
"48","DSCN2529","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,2,3,1979.1143860936
"49","DSCN2538","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,2,4,1791.03669619449
"50","DSCN2542","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,4,5,1797.41845518352
"51","DSCN2549","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,5,2,1825.77931680515
"52","DSCN2553","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,4,4,1846.01142923088
"53","DSCN2561","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,1,1,2035.31343524674
"54","DSCN2564","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,1,1,2064.68822230393
"55","DSCN2569","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,3,2,1821.82419532477
"56","DSCN2574","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,5,5,1737.72879148322
"57","DSCN2578","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,5,1,2156.42586478005
"58","DSCN2583","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,1,3,2277.49207390516
"59","DSCN2587","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,3,3,1948.298336197
"60","DSCN2592","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,3,5,2179.24527067255
"61","DSCN2599","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,5,1,2159.64890377253
"62","DSCN2603","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,3,4,2226.86135221108
"63","DSCN2608","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,3,3,1875.86133458997
