"family","tribe","genus","species","type","image","complete","corrupt","folds_species","folds_tribe"
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2811",1,1,5,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2819",1,0,2,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2823",1,0,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2827",1,0,1,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2835",1,0,1,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2839",1,1,2,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2843",0,0,5,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2847",1,0,1,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2851",1,0,3,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2855",1,0,3,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2859",1,1,5,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2863",1,0,1,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2867",1,1,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN2934",1,0,4,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4135",1,1,4,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4139",1,0,4,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4143",1,0,3,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4742",1,1,4,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4746",1,0,3,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4750",1,0,3,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4758",1,0,3,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4762",1,0,2,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4766",1,0,2,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4770",1,0,1,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4775",1,0,1,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4779",1,0,2,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2","DSCN4783",1,1,2,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2519",1,0,4,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2528",1,0,5,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2534",1,0,4,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2541",1,0,1,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2548",1,0,1,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2552",1,0,3,2
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2560",1,0,5,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2563",-2,0,5,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2568",1,0,1,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2573",1,0,3,2
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2577",1,0,3,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2582",1,0,5,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2586",1,0,2,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2591",1,0,4,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2598",1,0,2,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2602",1,0,4,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2607",1,0,4,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2701",1,0,2,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2740",1,0,2,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN3115",0,0,1,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN3118",1,0,2,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN3122",0,0,3,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4158",-1,0,4,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4692",1,0,1,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4697",1,0,1,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4701",1,0,2,2
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4705",1,0,3,2
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4709",1,0,3,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN4713",-1,0,5,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2705",-1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2709",1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2713",-1,0,NA,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2718",-1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2722",1,0,NA,4
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2726",1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2730",-1,0,NA,4
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2734",1,0,NA,4
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2737",1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2748",1,0,NA,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2752",1,0,NA,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2756",1,0,NA,3
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN2760",1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN3234",1,0,NA,3
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4181",-1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4184",1,0,NA,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4567",-1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4570",1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4575",1,0,NA,4
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4578",1,0,NA,3
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4581",1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4586",-1,0,NA,4
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4590",-1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4594",1,0,NA,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4598",1,0,NA,3
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4601",1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4605",1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4608",1,0,NA,2
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4611",1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4615",-2,0,NA,1
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4619",1,0,NA,5
"Bovidae","Alcelaphini","Connochaetes","taurinus","UM2","DSCN4623",1,0,NA,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2938",1,0,2,3
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2942",-1,-1,1,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2946",1,0,3,3
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2950",1,0,2,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2954",1,0,1,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2959",1,0,4,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2963",1,0,4,5
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2967",1,0,5,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2971",1,0,2,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2975",1,0,2,5
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2978",1,0,3,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2982",1,0,4,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2986",1,0,3,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2990",1,0,4,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN2996",1,0,1,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN3000",1,0,1,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN3004",1,0,5,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN3008",1,0,3,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN3012",1,0,5,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN3014",1,0,4,5
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4053",1,0,5,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4057",1,0,4,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4061",1,0,2,4
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4065",1,0,1,1
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4069",1,0,3,3
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4073",1,0,5,2
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4077",1,0,3,3
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4081",1,0,5,3
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4085",1,0,1,3
"Bovidae","Alcelaphini","Damaliscus","dorcas","UM2","DSCN4089",1,0,2,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3131",1,0,1,5
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3135",1,0,5,4
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3139",1,0,5,2
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3143",1,0,4,5
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3147",1,0,1,5
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3151",1,0,5,5
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3155",1,0,3,2
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3160",1,0,3,3
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3165",1,0,3,5
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3169",1,0,4,4
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3173",1,0,1,2
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3177",1,0,5,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3181",1,0,1,4
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN3185",1,0,2,3
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4188",1,0,4,3
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4192",1,0,3,3
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4196",1,0,3,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4198",1,0,5,2
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4202",1,0,1,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4206",1,0,2,4
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4210",1,0,3,5
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4214",1,0,4,2
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4218",1,0,2,2
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4222",1,0,1,4
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4226",1,0,4,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4229",1,0,2,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4233",1,0,2,4
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4237",1,0,2,3
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4241",1,0,5,1
"Bovidae","Antilopini","Antidorcas","marsupialis","UM2","DSCN4245",1,0,4,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3627",1,0,1,1
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3631",-2,0,4,1
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3637",1,0,4,4
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3641",1,0,4,4
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3983",-2,0,3,4
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3989",1,0,3,2
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN3996",1,0,5,2
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4001",1,0,1,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4005",1,0,1,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4009",1,0,2,2
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4013",1,0,2,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4017",1,0,3,1
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4019",1,0,4,1
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4023",1,0,1,4
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4028",1,0,4,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4032",1,0,1,4
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN4037",1,0,3,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5711",-2,0,3,5
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5714",0,0,2,3
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5717",1,0,3,2
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5721",1,0,2,1
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5725",1,0,1,2
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5729",1,0,2,4
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5733",1,0,4,2
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5737",1,0,5,5
"Bovidae","Bovini","Syncerus","caffer","UM2","DSCN5741",1,0,2,1
"Bovidae","Hippotragini","Hippotragus","equinus","UM2","DSC_0814",1,0,5,2
"Bovidae","Hippotragini","Hippotragus","equinus","UM2","DSC_0820",1,0,4,2
"Bovidae","Hippotragini","Hippotragus","equinus","UM2","DSC_0827",1,0,5,3
"Bovidae","Hippotragini","Hippotragus","equinus","UM2","DSC_0833",1,0,4,1
"Bovidae","Hippotragini","Hippotragus","equinus","UM2","DSC_0836",1,0,2,5
